MSOA11CD,Proportion,Extent,Score,Income_Proportion,Income_Extent,Income_Score,Employment_Proportion,Employment_Extent,Employment_Score,Education_Proportion,Education_Extent,Education_Score,Health_Proportion,Health_Extent,Health_Score,Crime_Proportion,Crime_Extent,Crime_Score,Housing_and_Access_Proportion,Housing_and_Access_Extent,Housing_and_Access_Score,Environment_Proportion,Environment_Extent,Environment_Score
E02000001,0,0.03731043481556477,15.328364160065837,0,0.1109091007531172,0.06903713609710935,0,0.06490993454214693,0.0551018413743442,0,0,5.997754243390599,0,0,-0.6488966155745294,0,0,-1.6387976545622878,0.6666666666666666,0.7356509780778455,36.23126242156157,0.3333333333333333,0.52577924081884575,39.521393580907315
E02000002,0,0.5969567584118667,34.903045378151255,0,0.6542152893546082,0.2172142210730446,0,0.4362531895349232,0.13677608274078862,0,0.3609168849726125,31.250240077569487,0.25,0.2235294117647059,0.23079844861021326,0.25,0.2834892661518048,0.4582568842921784,1,1,46.250600258564965,0,0,20.00520698125404
E02000003,0,0.09221194879089614,25.21583801682477,0,0.0439770896724539,0.14112457490603186,0,0,0.08624959727939861,0,0,17.90603669232146,0,0,-0.024949436191158043,0,0.43167597712735384,0.549945677465545,0.6666666666666666,0.9313005755842981,39.869034365491316,0,0.293522321554737,30.798154107750136
E02000004,0,0.16328618765397118,23.83264333781965,0,0.15166898853234476,0.1399636608344549,0,0.11681739116746552,0.10068894870644535,0,0.10520019204583911,23.141282488410347,0,0.09358299292421272,0.04029415283385672,0,0,0.12190758187528038,0.5,0.6746519169165623,36.44757215492747,0,0,20.10183624943921
E02000005,0,0.2978661305295447,29.818488976226995,0,0.1993014913626089,0.15811598926380366,0,0.10588144777203742,0.10518117331288343,0,0.1558471403777849,26.591110812883436,0,0.007764570552147228,0.06037202837423313,0,0.3896351307717145,0.6320610621165644,1,1,41.4522723351227,0,0.5816006417500807,35.571953029141106
E02000007,0.2,0.5868963187227623,35.89233986863058,0.2,0.5590017914012738,0.21688664410828026,0,0.31179391552128727,0.13123178742038216,0,0.23366812981897417,30.207824641719746,0,0.15908507584646328,0.34044237659235665,0.2,0.2556198667448877,0.45192515923566884,1,1,49.39180344347134,0,0.10447850318471334,23.61648109076433
E02000008,0,0.5402193883064951,34.47295174537988,0.14285714285714285,0.4704172867011946,0.20278226188595797,0,0.32516460357971216,0.1389504817564366,0,0.16065974444878578,28.693141209919446,0,0.14464414867527367,0.3284211814879166,0,0.08864048250463466,0.28315313536566106,1,1,44.61405844258411,0,0.3160272344104614,31.347356104880745
E02000009,0,0.6531554920778995,36.41676929579846,0,0.5976104666942528,0.21652616451094767,0,0.2192715494035621,0.1258644010482712,0,0.12422948062522522,27.37099086989602,0,0.06301751716343865,0.3107862879364274,0.16666666666666666,0.4927346263197938,0.7780751542818497,1,1,45.53484030771831,0.16666666666666666,0.5447693224946719,35.77918750528362
E02000010,0,0.5714231798531529,34.51029378531073,0,0.6407774651753242,0.21986831812255542,0,0.29919371440334863,0.13639135158626683,0,0.027110638395205725,25.82950434593655,0,0.07167764587479127,0.2521162538026945,0,0.04531610970058782,0.3849852238157323,1,1,46.66498804867449,0,0.02786545895377294,26.580899391568884
E02000011,0,0.08867713679394364,25.830212038890476,0,0.05196785214394291,0.14801701458392907,0,0,0.09205876465541891,0,0.049523275589603094,23.181781812982557,0,0.07394571286666765,0.2579382327709465,0,0,0.18671218187017444,0.75,0.9204543744261998,39.442557048899054,0,0.15447977966076185,27.21492107520732
