DZ_CODE,UR8FOLD,UR6FOLD,UR3FOLD,UR2FOLD
S01007289,5,4,1,1
S01007290,5,4,1,1
S01007291,5,4,1,1
S01007292,5,4,1,1
S01007293,5,4,1,1
S01007294,5,4,1,1
S01007295,5,4,1,1
S01007296,5,4,1,1
S01007297,5,4,1,1
S01007298,5,4,1,1
S01007299,5,4,1,1
S01007300,5,4,1,1
S01007333,5,4,1,1
S01007334,5,4,1,1
S01007335,5,4,1,1
S01007336,5,4,1,1
S01007337,5,4,1,1
S01007338,5,4,1,1
S01007339,5,4,1,1
S01007342,5,4,1,1
S01007344,5,4,1,1
S01007345,5,4,1,1
S01007346,5,4,1,1
S01007347,5,4,1,1
S01007348,5,4,1,1
S01007349,5,4,1,1
S01007350,5,4,1,1
S01007359,5,4,1,1
S01007360,5,4,1,1
S01007361,5,4,1,1
S01007362,5,4,1,1
S01007363,5,4,1,1
S01007364,5,4,1,1
S01007365,5,4,1,1
S01007366,5,4,1,1
S01007367,5,4,1,1
S01007368,5,4,1,1
S01007369,5,4,1,1
S01007370,5,4,1,1
S01007371,5,4,1,1
S01007372,5,4,1,1
S01009037,5,4,1,1
S01009038,5,4,1,1
S01009039,5,4,1,1
S01009040,5,4,1,1
S01009041,5,4,1,1
S01009042,5,4,1,1
S01009043,5,4,1,1
S01009044,5,4,1,1
S01009045,5,4,1,1
S01009046,5,4,1,1
S01010752,5,4,1,1
S01010753,5,4,1,1
S01010754,5,4,1,1
S01010755,5,4,1,1
S01010756,5,4,1,1
S01010776,5,4,1,1
S01010777,5,4,1,1
S01010778,5,4,1,1
S01010779,5,4,1,1
S01010780,5,4,1,1
S01010781,5,4,1,1
S01010782,5,4,1,1
S01010783,5,4,1,1
S01010784,5,4,1,1
S01010785,5,4,1,1
S01010786,5,4,1,1
S01010799,5,4,1,1
S01010800,5,4,1,1
S01010801,5,4,1,1
S01010802,5,4,1,1
S01010803,5,4,1,1
S01010804,5,4,1,1
S01010805,5,4,1,1
S01010806,5,4,1,1
S01010807,5,4,1,1
S01010808,5,4,1,1
S01010809,5,4,1,1
S01006789,8,6,3,2
S01006790,8,6,3,2
S01006791,8,6,3,2
S01006792,8,6,3,2
S01006793,8,6,3,2
S01007284,8,6,3,2
S01007285,8,6,3,2
S01007286,8,6,3,2
S01007287,8,6,3,2
S01007288,8,6,3,2
S01007301,8,6,3,2
S01007302,8,6,3,2
S01007303,8,6,3,2
S01007305,8,6,3,2
S01007306,8,6,3,2
S01007307,8,6,3,2
S01007308,8,6,3,2
S01007309,8,6,3,2
S01007310,8,6,3,2
S01007311,8,6,3,2
