MSOA11CD,Proportion,Extent,Score
S02001236,0,0,0
S02001237,0,0,0
S02001238,0,0,0
S02001239,0,0.055003819349484596,0
S02001240,0,0,0
S02001241,0,0,0
S02001242,0,0,0
S02001243,0,0.05171975175190099,0
S02001244,0,0.13302731968041648,0
S02001245,0,0,0
S02001246,0,0,0
S02001247,0,0,0
S02001248,0,0,0
S02001249,0,0,0
S02001250,0,0.04928954617949832,0
S02001251,0,0,0
S02001252,0,0,0
S02001253,0,0.1643814653444174,0
S02001254,0,0,0
S02001255,0,0,0
S02001256,0,0,0
S02001257,0,0.323381409617913,0
S02001258,0.3333333333333333,0.7329130456010154,0
S02001259,0,0.10050113858686933,0
S02001260,0,0,0
S02001261,0,0.061565613541242264,0
S02001262,0,0.1297503997775151,0
S02001263,0,0,0
S02001264,0.2,0.34205173179648973,0
S02001265,0,0.15639495330570843,0
S02001266,0,0.46071872813496073,0
S02001267,0.2,0.4662744677140212,0
S02001268,0,0,0
S02001269,0,0.22544445420730455,0
S02001270,0,0.33071563883690136,0
S02001271,0,0.12726946498477595,0
S02001272,0,0.22231480914159665,0
S02001273,0.14285714285714285,0.2777178239716939,0
S02001274,0,0.5120450854904958,0
S02001275,0,0,0
S02001276,0,0,0
S02001277,0,0,0
S02001278,0,0,0
S02001279,0,0,0
S02001280,0,0,0
S02001281,0,0,0
S02001282,0,0,0
S02001283,0,0,0
S02001284,0,0,0
S02001285,0,0,0
S02001286,0,0,0
S02001287,0,0,0
S02001288,0,0,0
S02001289,0,0,0
S02001290,0,0,0
S02001291,0,0,0
S02001292,0,0,0
S02001293,0,0,0
S02001294,0,0,0
S02001295,0,0,0
S02001296,0,0,0
S02001297,0,0,0
S02001298,0,0,0
S02001299,0,0,0
S02001300,0,0,0
S02001301,0,0,0
S02001302,0,0,0
S02001303,0,0,0
S02001304,0,0,0
S02001305,0,0,0
S02001306,0,0,0
S02001307,0,0,0
S02001308,0,0,0
S02001309,0,0,0
S02001310,0,0,0
S02001311,0,0,0
S02001312,0,0,0
S02001313,0,0,0
S02001314,0,0,0
S02001315,0,0,0
S02001316,0,0,0
S02001317,0,0,0
S02001318,0,0,0
S02001319,0,0,0
S02001320,0,0,0
S02001321,0,0.06248149226155071,0
S02001322,0,0,0
S02001323,0,0,0
S02001324,0,0,0
S02001325,0,0,0
S02001326,0,0.08798652118100127,0
S02001327,0,0,0
S02001328,0,0,0
S02001329,0,0,0
S02001330,0,0,0
S02001331,0,0,0
S02001332,0,0,0
S02001333,0,0,0
S02001334,0,0,0
S02001335,0,0.014344262295081947,0
S02001336,0,0.45564329434048295,0
S02001337,0,0.04910325778500889,0
S02001338,0,0.016682885419686103,0
S02001339,0,0,0
S02001340,0,0,0
S02001341,0,0.33391955119998135,0
S02001342,0,0.1303302174354806,0
S02001343,0.25,0.5880362542401498,0
S02001344,0,0,0
S02001345,0,0,0
S02001346,0,0,0
S02001347,0,0,0
S02001348,0,0,0
S02001349,0,0,0
S02001350,0,0,0
S02001351,0,0.13070951131356143,0
S02001352,0,0,0
S02001353,0.16666666666666666,0.534074099129572,0
S02001354,0,0.22594416222518318,0
S02001355,0.14285714285714285,0.3470622346964811,0
S02001356,0,0,0
S02001357,0,0.15406845919145687,0
S02001358,0,0.046866952789699566,0
S02001359,0,0,0
S02001360,0,0,0
S02001361,0,0.3672464754948235,0
S02001362,0,0,0
S02001363,0,0,0
S02001364,0,0,0
S02001365,0,0.21623831262894513,0
S02001366,0,0.07509682121798915,0
S02001367,0,0,0
S02001368,0,0.07165095838187016,0
S02001369,0,0,0
S02001370,0,0,0
S02001371,0.125,0.1117777347102633,0
S02001372,0,0,0
S02001373,0,0,0
S02001374,0,0,0
S02001375,0,0,0
S02001376,0,0.05780766518428966,0
S02001377,0,0,0
S02001378,0,0,0
S02001379,0,0,0
S02001380,0.14285714285714285,0.28407190055912385,0
S02001381,0,0.09630745560612859,0
S02001382,0.2857142857142857,0.6453434557266953,0
S02001383,0,0,0
S02001384,0,0,0
S02001385,0,0.12564409639056087,0
S02001386,0.2857142857142857,0.38698854137430283,0
S02001387,0,0.030091121918920403,0
S02001388,0,0,0
S02001389,0,0,0
S02001390,0,0.14100779660406576,0
S02001391,0.16666666666666666,0.25010829542993285,0
S02001392,0,0,0
