WD17CD,Proportion,Extent,Score
W05000043,0,0,0
W05000044,0,0,0
W05000046,0,0,0
W05000047,0,0,0
W05000048,0,0,0
W05000049,0,0,0
W05000050,0,0,0
W05000051,0,0.09736842105263155,0
W05000052,0,0,0
W05000053,0,0,0
W05000054,0,0.5710526315789473,0
W05000056,0,0,0
W05000057,0,0,0
W05000058,0,0,0
W05000059,0,0,0
W05000060,0,0,0
W05000061,0,0,0
W05000062,0,0,0
W05000063,0,0,0
W05000064,0,0,0
W05000065,0,0,0
W05000066,0,0,0
W05000067,0,0,0
W05000068,0,0,0
W05000069,0,0,0
W05000070,0,0,0
W05000071,0,0,0
W05000072,0,0,0
W05000073,0,0,0
W05000074,0,0,0
W05000075,0,0,0
W05000076,0,0,0
W05000077,0,0,0
W05000078,0,0,0
W05000079,0,0,0
W05000080,0,0,0
W05000081,0,0,0
W05000082,0,0,0
W05000083,0,0,0
W05000084,0,0,0
W05000085,0,0,0
W05000086,0,0,0
W05000087,0.5,0.8452151313318972,0
W05000088,0,0,0
W05000089,0,0,0
W05000090,0,0,0
W05000091,0,0,0
W05000092,0,0,0
W05000093,1,1,0
W05000094,0,0,0
W05000095,0,0,0
W05000096,0,0,0
W05000097,0,0,0
W05000098,0,0,0
W05000099,0,0,0
W05000100,0,0,0
W05000101,0,0,0
W05000102,0,0,0
W05000103,0,0,0
W05000104,0,0.04999999999999993,0
W05000105,0,0,0
W05000106,0,0,0
W05000107,0,0,0
W05000109,0,0,0
W05000110,0,0,0
W05000111,0,0,0
W05000112,0.5,0.4522870662460568,0
W05000113,0,0,0
W05000114,0,0,0
W05000115,0,0,0
W05000116,0,0,0
W05000117,0,0,0
W05000118,0.3333333333333333,0.2870655001182313,0
W05000119,0,0,0
W05000121,0,0,0
W05000123,0,0,0
W05000124,0,0,0
W05000125,0,0,0
W05000126,0.3333333333333333,0.4331581507892816,0
W05000127,0,0,0
W05000128,0,0,0
W05000129,0,0.21730332961049834,0
W05000130,0,0,0
W05000131,0,0,0
W05000132,0,0,0
W05000133,0,0,0
W05000134,0,0,0
W05000135,0,0.5023255813953489,0
W05000137,0,0,0
W05000138,0,0.0997567214390969,0
W05000139,0,0,0
W05000140,0,0.08486028672280173,0
W05000143,0,0.37290087054198257,0
W05000144,0,0.2810477657935285,0
W05000145,0,0.381578947368421,0
W05000146,0,0,0
W05000148,0,0,0
W05000149,0,0,0
W05000150,0,0,0
W05000151,0,0,0
W05000152,0,0,0
W05000153,0,0,0
W05000154,0.5,0.5588605465069323,0
W05000155,0,0,0
W05000156,0,0,0
W05000157,0,0,0
W05000158,0,0,0
W05000159,0,0,0
W05000160,0,0,0
W05000161,0,0,0
W05000162,0,0,0
W05000163,0,0,0
W05000164,0,0.19226567120047308,0
W05000165,0,0.15981309059625068,0
W05000166,0,0,0
W05000167,0,0,0
W05000168,0,0,0
W05000169,0,0,0
W05000170,0.3333333333333333,0.5265874038149214,0
W05000171,0,0,0
W05000172,0,0.23676729389467985,0
W05000173,0.6666666666666666,0.6851952770208901,0
W05000174,1,1,0
W05000175,0,0,0
W05000176,0,0,0
W05000177,0,0,0
W05000178,0,0,0
W05000179,0,0,0
W05000180,0,0,0
W05000181,0,0,0
