soa11_name,soa11_code,lgd14_name,lgd14_code,Civic Assets score,Civic Assets rank,Connectedness score,Connectedness rank,Engaged Community score,Engaged Community rank,Community Needs Index score,Community Needs Index rank,Left Behind Area?
Aldergrove_1,95AA01S1,Antrim and Newtownabbey,N09000001,1.46529483795166,8,0.411367356777191,890,49.6761016845703,305,113.352653503418,68,FALSE
Aldergrove_2,95AA01S2,Antrim and Newtownabbey,N09000001,1.4523366689682,9,4.81157112121582,852,8.01536273956299,865,89.6766204833985,171,FALSE
Aldergrove_3,95AA01S3,Antrim and Newtownabbey,N09000001,0.480172991752625,274,15.3103494644165,702,22.7433757781982,691,37.6959609985352,716,FALSE
Balloo,95AA02W1,Antrim and Newtownabbey,N09000001,-0.155790328979492,528,85.5445861816406,103,25.8472023010254,632,67.2698135375977,370,FALSE
Ballycraigy,95AA03W1,Antrim and Newtownabbey,N09000001,0.41422712802887,301,92.1771545410156,81,27.0147571563721,613,85.492660522461,204,FALSE
Clady,95AA04W1,Antrim and Newtownabbey,N09000001,0.80685430765152,135,2.03994536399841,884,12.9106292724609,828,43.7729339599609,644,FALSE
Cranfield,95AA05W1,Antrim and Newtownabbey,N09000001,1.02428865432739,71,17.053503036499,676,29.922477722168,553,72.3079147338867,318,FALSE
Crumlin_1_(Antrim_LGD),95AA06S1,Antrim and Newtownabbey,N09000001,0.506838321685791,258,16.7003421783447,680,46.1929244995117,337,55.8987274169922,498,FALSE
Crumlin_2_(Antrim_LGD),95AA06S2,Antrim and Newtownabbey,N09000001,0.801179587841034,138,9.80562686920166,779,63.3378372192383,188,79.2999801635742,250,FALSE
Drumanaway,95AA07W1,Antrim and Newtownabbey,N09000001,0.640344381332398,209,25.2693195343018,565,28.1034069061279,592,52.0662002563477,536,FALSE
Farranshane,95AA08W1,Antrim and Newtownabbey,N09000001,-0.268886804580689,577,60.5872764587402,229,6.19416761398315,873,40.7849731445313,685,FALSE
Fountain_Hill,95AA09W1,Antrim and Newtownabbey,N09000001,-0.222148686647415,555,65.0763549804688,198,39.0690536499023,421,61.3262557983398,438,FALSE
Greystone_(Antrim_LGD),95AA10W1,Antrim and Newtownabbey,N09000001,0.415495723485947,300,62.6354331970215,219,17.5930671691895,768,59.3359260559082,462,FALSE
Massereene_1,95AA11S1,Antrim and Newtownabbey,N09000001,-0.461620330810547,630,33.6933784484863,474,10.2766189575195,848,23.2619400024414,854,FALSE
Massereene_2,95AA11S2,Antrim and Newtownabbey,N09000001,-0.0471115112304688,487,11.0911111831665,766,13.9258937835693,818,19.0435256958008,877,FALSE
Parkgate,95AA12W1,Antrim and Newtownabbey,N09000001,0.986804604530334,81,6.49874067306519,830,40.0350570678711,404,72.0578002929688,321,FALSE
Randalstown_1,95AA13S1,Antrim and Newtownabbey,N09000001,-0.112443223595619,512,25.3114414215088,564,42.0133819580078,383,41.9636611938477,673,FALSE
Randalstown_2,95AA13S2,Antrim and Newtownabbey,N09000001,0.521981060504913,253,53.8375244140625,293,15.1276149749756,803,55.6734848022461,499,FALSE
Shilvodan,95AA14W1,Antrim and Newtownabbey,N09000001,1.31571674346924,27,4.05574369430542,863,48.8145751953125,312,97.3990936279297,129,FALSE
Springfarm_1,95AA15S1,Antrim and Newtownabbey,N09000001,0.112746328115463,421,17.4320945739746,670,54.0579452514649,264,50.7487030029297,556,FALSE
Springfarm_2,95AA15S2,Antrim and Newtownabbey,N09000001,-0.18137438595295,541,35.060001373291,463,40.5784530639649,397,44.3635139465332,635,FALSE
Steeple,95AA16W1,Antrim and Newtownabbey,N09000001,0.0102085769176483,459,122.457992553711,23,22.5530395507813,694,96.2915725708008,136,FALSE
Stiles,95AA17W1,Antrim and Newtownabbey,N09000001,-0.404130578041077,618,50.0706977844238,331,36.8224601745606,451,46.0107498168945,604,FALSE
Templepatrick,95AA18W1,Antrim and Newtownabbey,N09000001,0.885171234607697,105,8.04392051696777,810,18.7508010864258,751,53.2777862548828,526,FALSE
Toome,95AA19W1,Antrim and Newtownabbey,N09000001,1.19511473178864,39,11.1070356369019,765,28.5592498779297,577,79.9846115112305,244,FALSE
Ballygowan_1,95BB01S1,Ards and North Down,N09000011,0.723325848579407,170,37.3225173950195,442,9.02703666687012,858,53.6816864013672,524,FALSE
Ballygowan_2,95BB01S2,Ards and North Down,N09000011,1.1847517490387,42,47.7489166259766,348,28.4273242950439,584,96.1039581298828,137,FALSE
Ballyrainey,95BB02W1,Ards and North Down,N09000011,-0.268280535936356,576,71.6743545532227,160,11.5108528137207,839,49.5360565185547,574,FALSE
Ballywalter_1,95BB03S1,Ards and North Down,N09000011,1.00995516777039,75,53.994026184082,291,28.7432880401611,573,89.3243637084961,176,FALSE
Ballywalter_2,95BB03S2,Ards and North Down,N09000011,0.79022616147995,145,34.9706153869629,466,21.8921756744385,705,60.3752403259277,449,FALSE
Bradshaw's_Brae_1,95BB04S1,Ards and North Down,N09000011,-1.0845901966095,812,59.9106750488281,235,3.59260845184326,883,32.2203941345215,779,FALSE
Bradshaw's_Brae_2,95BB04S2,Ards and North Down,N09000011,0.0318181365728378,449,33.2732353210449,478,23.9647026062012,662,36.3241653442383,730,FALSE
Carrowdore_1,95BB05S1,Ards and North Down,N09000011,0.594762921333313,222,33.0684432983398,480,12.0108470916748,836,46.5996437072754,599,FALSE
Carrowdore_2,95BB05S2,Ards and North Down,N09000011,0.435751169919968,292,34.8195190429688,467,7.93598985671997,867,40.3404960632324,688,FALSE
Central_(Ards_LGD),95BB06W1,Ards and North Down,N09000011,-0.831656038761139,757,107.744934082031,44,2.81934309005737,888,68.2473831176758,362,FALSE
Comber_East_1,95BB07S1,Ards and North Down,N09000011,0.504477381706238,260,128.240982055664,17,4.14834785461426,881,108.069328308106,88,FALSE
Comber_East_2,95BB07S2,Ards and North Down,N09000011,0.774957537651062,153,71.3888244628906,163,28.6684455871582,575,87.0562133789063,190,FALSE
