iz11_code,iz11_name,Civic Assets score,Civic Assets rank,Connectedness score,Connectedness rank,Engaged Community score,Engaged Community rank,Community Needs Index score,Community Needs Index rank,Left Behind Area?
S02001477,Doon Valley North,1.9654195308685303,1,97.43151092529297,36,112.80436706542969,37,247.6902313232422,1,TRUE
S02002114,Ardrossan North East,1.2312934398651123,55,121.59719848632812,6,106.44046020507812,49,229.78067016601562,2,TRUE
S02002105,Irvine Castlepark North,1.02458918094635,108,95.2660140991211,41,131.23019409179687,21,207.89572143554687,3,TRUE
S02001479,Drongan,1.6122511625289917,9,75.32142639160156,140,104.72615051269531,57,205.9837188720703,4,FALSE
S02002116,Saltcoats North East,0.8154534101486206,178,117.37826538085937,8,106.41043853759766,51,203.890380859375,5,FALSE
S02001838,Leuchars and Guardbridge,1.8281668424606323,2,107.74281311035156,17,40.787776947021484,570,201.51327514648437,6,FALSE
S02002102,Irvine Bourtreehill,0.22432367503643036,519,118.64726257324219,7,135.20834350585937,13,200.89828491210937,7,TRUE
S02002040,"Braeside, Branchton, Lower Larkfield and Ravenscraig",1.1640033721923828,70,102.39653015136719,23,93.12408447265625,105,197.74911499023437,8,TRUE
S02002101,Irvine Broomlands,0.6045737862586975,284,91.96440124511719,54,145.27716064453125,7,193.8319854736328,9,FALSE
S02002104,Irvine Perceton and Lawthorn,1.1066261529922485,87,84.13484954833984,97,122.93428039550781,27,192.90731811523437,10,FALSE
S02002121,Kilwinning West and Blacklands,0.09532297402620316,600,98.29884338378906,35,159.3142852783203,2,190.2929229736328,11,TRUE
S02001493,Shortlees,1.334564208984375,34,60.955196380615234,299,126.10002136230469,23,188.23480224609375,12,TRUE
S02002500,Armadale,1.447965145111084,18,102.85832214355469,22,47.09275817871094,484,187.12509155273437,13,FALSE
S02002118,Stevenston Hayocks,0.8822973370552063,148,78.99800872802734,122,134.0558624267578,15,185.15931701660156,14,TRUE
S02002120,Kilwinning Pennyburn,-0.07459884136915207,723,111.06098175048828,12,122.3192138671875,29,178.7247772216797,15,FALSE
S02002050,Port Glasgow Upper East,0.6820870637893677,241,72.87421417236328,171,147.4415283203125,5,176.85926818847656,16,TRUE
S02002036,Inverkip and Wemyss Bay,1.2848092317581177,47,107.75831604003906,16,44.19733810424805,531,174.77691650390625,17,FALSE
S02002132,Kilbirnie South and Longbar,0.8711957335472107,154,58.73021697998047,322,149.02777099609375,4,173.88339233398437,18,TRUE
S02002190,Caldercruix and Plains,0.5363749265670776,322,95.8869400024414,40,107.93040466308594,46,173.27951049804687,19,TRUE
S02002041,"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl",-0.038027629256248474,707,91.864959716796875,55,142.4852294921875,9,171.32534790039062,20,TRUE
S02001498,Dean and New Farm Loch North,1.1023359298706055,88,65.31083679199219,238,114.01043701171875,35,170.08416748046875,21,FALSE
S02001500,Altonhill North and Onthank,0.9865010380744934,113,60.394981384277344,304,131.9365692138672,20,167.85829162597656,22,TRUE
S02001489,Darvel,1.773581624031067,3,71.29313659667969,185,53.853546142578125,385,167.28651428222656,23,FALSE
S02001423,Lochside and Lincluden,1.6702461242675781,5,54.24651336669922,374,80.63751220703125,177,166.5320281982422,24,TRUE
S02001772,Kelty West,0.6933882236480713,233,98.70664978027344,34,91.05397033691406,111,166.39456176757813,25,FALSE
S02001739,Oakley Comrie and Blairhall,1.2162055969238281,58,99.161590576171875,30,47.46516418457031,477,165.05465698242187,26,FALSE
S02001491,Galston,1.610552191734314,10,73.25862121582031,164,57.51247024536133,352,164.51113891601562,27,TRUE
S02002501,Armadale South,1.600919246673584,11,74.220855712890625,153,55.89305877685547,365,164.28855895996094,28,TRUE
S02002126,West Kilbride and Seamill,1.3948835134506226,25,88.60968017578125,75,46.618186950683594,491,162.30137634277344,29,FALSE
S02001775,Ballingry,1.0080198049545288,112,92.9084243774414,49,70.52061462402344,241,159.42588806152344,30,TRUE
S02001485,Auchinleck,1.044842004776001,101,79.486297607421875,118,88.47797393798828,128,158.15338134765625,31,TRUE
S02001395,Menstrie,1.6558809280395508,7,66.77171325683594,224,51.72697448730469,410,157.3662872314453,32,FALSE
S02002154,Carfin and Cleekhimin,0.6648619174957275,248,61.710838317871094,290,134.78929138183594,14,156.61923217773437,33,TRUE
S02001409,Rhins South,0.8785989284515381,150,109.89273071289062,15,48.72705078125,456,156.5681610107422,34,FALSE
S02001482,New Cumnock,1.7722004652023315,4,50.02816390991211,457,70.16727447509766,245,156.27769470214844,35,TRUE
S02001701,Bonnybridge,1.2386009693145752,54,68.9735336303711,205,86.4427719116211,145,155.90541076660156,36,FALSE
S02001490,Newmilns,1.2473444938659668,52,79.79679870605469,117,68.13426971435547,263,155.61062622070312,37,TRUE
S02002106,Irvine Castlepark South,0.007406570017337799,676,69.25418853759766,202,182.6579132080078,1,155.45462036132812,38,TRUE
S02002100,Dreghorn,0.8790469765663147,149,74.24898529052734,152,99.1331558227539,80,154.36859130859375,39,FALSE
S02001393,Tullibody South,1.4996110200881958,16,65.13664245605469,241,60.08232879638672,330,152.91419982910156,40,TRUE
S02001499,Southcraig and Beansburn,1.2973811626434326,43,72.997528076171875,169,68.48987579345703,257,151.78697204589844,41,FALSE
