lsoa01_code,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_and_Access_rank,Crime_rank,Environment_rank,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Housing_and_Access_decile,Crime_decile,Environment_decile
E01000001,28814,32460,32435,32332,32421,5491,31816,10212,9,10,10,10,10,2,10,4
E01000002,29450,32457,32452,32472,32392,6980,32269,10483,10,10,10,10,10,3,10,4
E01000003,20047,22562,26026,28188,24611,2211,30147,6088,7,7,9,9,8,1,10,2
E01000004,22503,30002,28814,28814,30899,3012,30744,3257,7,10,9,9,10,1,10,2
E01000005,12978,11341,19427,14900,13235,4407,28792,4730,4,4,6,5,5,2,9,2
E01000006,16410,14996,20979,21343,18084,5374,10184,14273,6,5,7,7,6,2,4,5
E01000007,5438,5053,12409,7668,8668,4492,2026,2591,2,2,4,3,3,2,1,1
E01000008,3172,1145,7055,8596,8403,4612,4074,2177,1,1,3,3,3,2,2,1
E01000009,8462,8499,11184,11092,12902,6758,3148,6960,3,3,4,4,4,3,1,3
E01000010,5038,3207,9636,10229,11775,6705,968,4003,2,1,3,4,4,3,1,2
E01000011,8421,6609,12377,12473,12161,7483,6323,4026,3,3,4,4,4,3,2,2
E01000012,5400,2859,12485,14223,14842,3520,2766,1435,2,1,4,5,5,2,1,1
E01000013,4626,4537,7874,7973,3112,10186,2020,5334,2,2,3,3,1,4,1,2
E01000014,5235,4482,6273,10763,2928,7584,8694,5878,2,2,2,4,1,3,3,2
E01000015,4926,2631,7467,10342,3988,7869,2895,15443,2,1,3,4,2,3,1,5
E01000016,7495,6671,8336,10404,4637,10311,9142,9561,3,3,3,4,2,4,3,3
E01000017,6099,4153,6752,3680,7127,10426,15093,11135,2,2,3,2,3,4,5,4
E01000018,7073,5788,7898,8444,5124,10523,7751,12738,3,2,3,3,2,4,3,4
E01000019,6993,4654,9267,8527,8126,10755,6998,7200,3,2,3,3,3,4,3,3
E01000020,6486,5412,7821,5810,6971,10322,11878,5190,2,2,3,2,3,4,4,2
E01000021,6542,4858,8253,10343,6366,8819,7127,6177,3,2,3,4,2,3,3,2
E01000022,8839,6884,11371,13281,6650,9362,7842,9905,3,3,4,5,3,3,3,4
E01000023,11340,9175,16488,12556,10421,7835,12145,8747,4,3,6,4,4,3,4,3
E01000024,8512,6575,11822,10041,6537,10298,8646,9169,3,3,4,4,3,4,3,3
E01000025,7034,5694,7451,9621,5259,10137,6649,13975,3,2,3,3,2,4,3,5
E01000026,5669,4018,7963,9153,8373,10590,2623,5263,2,2,3,3,3,4,1,2
E01000027,2355,2757,5639,5852,2635,6181,206,4896,1,1,2,2,1,2,1,2
E01000028,3695,2243,4285,4420,5028,6631,7598,11869,2,1,2,2,2,3,3,4
E01000029,9710,10796,12889,14011,9937,7341,2150,13142,3,4,4,5,4,3,1,5
E01000030,1773,1341,6050,8574,6483,2570,292,960,1,1,2,3,2,1,1,1
E01000031,9754,9297,12384,13867,16341,11407,1592,8826,4,3,4,5,6,4,1,3
E01000032,8363,8439,11238,13041,8111,9238,3203,7142,3,3,4,5,3,3,1,3
E01000033,4274,3797,6517,5807,4189,2817,5456,10465,2,2,3,2,2,1,2,4
E01000034,7596,6035,8538,7444,8637,3729,12138,17416,3,2,3,3,3,2,4,6
E01000035,9045,8509,11123,11283,9765,8649,4222,11367,3,3,4,4,4,3,2,4
E01000036,12845,10809,18233,11601,10941,11195,11273,11516,4,4,6,4,4,4,4,4
E01000037,12349,14048,6637,15437,11938,9350,20275,18628,4,5,3,5,4,3,7,6
E01000038,14866,16301,14674,14500,9840,14133,21117,9274,5,6,5,5,4,5,7,3
E01000039,15265,12985,21567,20221,17133,3339,11778,15931,5,4,7,7,6,2,4,5
E01000040,4909,3081,4732,8068,5176,9895,5961,12522,2,1,2,3,2,4,2,4
E01000041,6985,5777,10664,13437,3699,9092,5203,7555,3,2,4,5,2,3,2,3
E01000042,4715,2421,5348,8920,8642,5694,4029,12349,2,1,2,3,3,2,2,4
