lsoa_code,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_rank,Access_rank,Environment_rank,Crime_rank,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Housing_decile,Access_decile,Environment_decile,Crime_decile
W01000001,731,835,744.5,862,991,349,239,1735,695,4,5,4,5,6,2,2,10,4
W01000002,852,918,744.5,1185,1063,276,286,1585,1129,5,5,4,7,6,2,2,9,6
W01000003,527,537,553,681,608,366,305,1515,798,3,3,3,4,4,2,2,8,5
W01000004,768,803,619.5,1209,1183,287,201,1808,1216,5,5,4,7,7,2,2,10,7
W01000005,1032,945,1066,1427,923,243,737,1036,746,6,5,6,8,5,2,4,6,4
W01000006,917,1172,981,849,1052,279,218,1671,1284,5,7,5,5,6,2,2,9,7
W01000007,870,1012,981,890,1220,224,184,1083,1575,5,6,5,5,7,2,1,6,9
W01000008,1811,1527,1616,1698,1599,1235,1223,1624,1506,10,9,9,9,9,7,7,9,8
W01000009,486,485,427.5,505,951,347,259,1465,1012,3,3,3,3,6,2,2,8,6
W01000010,1500,1300,1503,1527,1179,1031,413,1721,1617,8,7,8,9,7,6,3,10,9
W01000011,1602,1189,1386.5,1671,1481,498,1672,1566,776,9,7,7,9,8,3,9,9,5
W01000012,1649,1363,1273.5,1630,1613,1344,1032,1331,1242,9,8,7,9,9,8,6,8,7
W01000013,1651,1595,1716.5,1582,1683,825,341,1551,1599,9,9,9,9,9,5,2,9,9
W01000014,1115,1030,981,1258,1203,750,602,777,1042,6,6,5,7,7,4,4,5,6
W01000015,1758,1688,1716.5,1117,1798,1187,722,1734,1724,10,9,9,6,10,7,4,10,10
W01000016,246,317,202.5,557,312,88,1894,733,27,2,2,1,3,2,1,10,4,1
W01000017,377,327,488.5,346,418,242,1411,658,241,2,2,3,2,3,2,8,4,2
W01000018,890,767,821,1125,771,500,882,761,1261,5,5,5,6,5,3,5,5,7
W01000019,1318,1382,1273.5,1038,1147,1253,403,1255,1308,7,8,7,6,7,7,3,7,7
W01000020,1335,1540,1386.5,1641,1554,295,159,1459,1571,8,9,7,9,9,2,1,8,9
W01000021,826,1014,900.5,1204,861,617,84,1617,1303,5,6,5,7,5,4,1,9,7
W01000022,953,1090,1066,1309,1118,293,142,1766,1074,6,6,6,7,6,2,1,10,6
W01000023,878,927,1066,977,894,225,250,1739,1222,5,5,6,6,5,2,2,10,7
W01000024,1058,1129,1273.5,1221,949,286,276,1486,1253,6,6,7,7,6,2,2,8,7
W01000025,1121,1271,1386.5,1370,974,226,319,752,1334,6,7,7,8,6,2,2,4,8
W01000026,986,1011,1273.5,875,1096,544,168,1893,1305,6,6,7,5,6,3,1,10,7
