dz11_code,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_rank,Access_rank,Crime_rank,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Access_decile,Housing_decile,Crime_decile
S01000001,4726,4102,4518,3490,4795,3929,3420,4839,8,7,7,6,8,6,7,8
S01000002,6214,6489,6106,5554,5360,5880,2151,6487,10,10,10,9,9,4,10,10
S01000003,6238,6284,6340,5267,5211,4784,3036,5066,10,10,10,9,9,5,8,8
S01000004,6068,6494,6403,5942,5255,5755,1462,5133,10,10,10,10,9,3,9,8
S01000005,5883,5308,5918,4812,5558,5149,3431,4331,10,9,10,8,9,6,8,7
S01000006,4812,4018,4030,4280,4239,3924,5577,4886,8,7,7,7,7,9,7,8
S01000007,6171,5564,5706,4400,6006,6261,5160,5355,10,9,9,7,10,8,10,9
S01000008,4548,4227,3978,3779,4135,3280,3950,4409,7,7,7,6,7,7,6,7
S01000009,5159,4496,5192,4859,4459,4013,2725,5425,8,7,8,8,7,5,7,9
S01000010,6092,5774,5750,5907,4898,4916,3855,4625,10,9,9,10,8,6,8,8
S01000011,6002,6476,6494,3808,6384,6142,1623,5968,10,10,10,6,10,3,10,10
S01000012,5491,5934,6255,4421,5196,5802,1201,4022,9,10,10,7,8,2,9,7
S01000013,4702,4303,5046,3743,5006,3715,1679,4719,8,7,8,6,8,3,6,8
S01000014,5274,5982,5522,3921,3835,4224,1987,5663,9,10,9,7,6,4,7,9
S01000015,6210,6401,6231,4636,4734,3330,4155,5677,10,10,10,8,8,7,6,9
S01000016,6162,6468,6495,6487,6065,5267,1207,4887,10,10,10,10,10,2,9,8
S01000017,4808,4715,4930,2881,4249,4641,3721,3647,8,8,8,5,7,6,8,6
S01000018,4908,5979,4261,3724,2686,3744,4031,5345,8,10,7,6,5,7,6,9
S01000019,5918,5908,6270,4499,6383,6401,1524,6138,10,10,10,7,10,3,10,10
S01000020,4026,3520,3141,4684,5500,5052,1662,5634,7,6,5,8,9,3,8,9
S01000021,3982,4414,3897,2818,3042,3788,2609,4369,7,7,6,5,5,5,6,7
S01000022,6167,6458,6449,6439,6483,6475,961,5985,10,10,10,10,10,2,10,10
S01000023,6000,6406,6469,6335,6447,6367,723,5877,10,10,10,10,10,2,10,10
S01000024,5602,5886,6488,5542,6308,5031,530,6196,9,10,10,9,10,1,8,10
S01000025,6010,6148,6195,6355,6454,6476,964,6000,10,10,10,10,10,2,10,10
S01000026,1260,1774,1248,579,1003,2081,3570,2537,2,3,2,1,2,6,4,4
S01000027,5980,6068,5539,6232,6248,6029,1549,5644,10,10,9,10,10,3,10,9
S01000028,2052,2558,2224,984,1420,2105,4282,3521,4,4,4,2,3,7,4,6
