dz_code,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Housing_decile,Access_decile,Crime_decile,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_rank,Access_rank,Crime_rank
S01006506,8,7,7,8,8,5,8,8,5272,4513,4260,4906,5367,3248,5065,5519
S01006507,7,7,7,8,6,5,4,10,4838,4334,4830,5070,4017,3486,2222,6310
S01006508,10,8,9,9,9,8,6,9,6321,5266,6101,5837,6032,5342,3596,6134
S01006509,8,8,7,6,8,7,7,10,5363,5002,4599,3958,4914,4394.5,4553,6934.5
S01006510,6,5,6,5,6,6,9,6,4049,3341,4055,3028,3509,3736,5681,3906
S01006511,10,9,9,8,8,9,9,10,6668,5836,6125,5454,5513,5924,5893,6486
S01006512,9,10,10,10,9,7,1,10,5865,6349,6714,6346,6157,4814,534,6497
S01006513,9,9,9,7,10,10,3,10,5845,5933,6013,4326,6648,6393.5,1419,6824
S01006514,10,10,10,10,10,10,3,10,6808,6762,6820,6670,6835,6868,2016,6396
S01006515,10,10,10,10,10,9,1,9,6322,6789,6892,6716,6825,6174.5,655,6269
S01006516,9,9,9,10,10,10,2,8,6259,6272,6169,6889,6550,6570,1233,5545
S01006517,9,9,9,9,10,9,2,7,5843,6202,5811,6034,6596,5892,1075,4285
S01006518,10,10,10,10,10,10,2,10,6607,6749,6815,6831,6958,6960,1074,6638
S01006519,10,10,10,10,10,10,2,10,6404,6680,6525,6651,6810,6855.5,918,6874
S01006520,10,10,10,10,10,10,1,10,6456,6967,6973,6968,6972,6825,625,6692
S01006521,10,10,10,10,10,10,2,8,6517,6905,6948,6940,6868,6869,842,5468.5
S01006522,10,10,10,10,10,10,3,10,6785,6958,6952,6933,6879,6841,1420,6805
S01006523,10,9,10,8,10,10,4,8,6496,6036,6591,5507,6877,6581,2236,5376
S01006524,6,6,5,7,10,9,3,9,3982,3531,2877,4258,6300,6240,2037,5709
S01006525,10,9,9,9,10,9,4,10,6333,5995,5754,5763,6945,6259.5,2176,6861
S01006526,4,5,6,4,2,3,3,8,2599,3167,3512,2515,1273,1454,1466,5075
S01006527,3,4,3,3,3,5,5,4,1957,2442,1978,1607,1513,3235,2923,2175
S01006528,6,6,7,6,4,3,6,5,3912,3763,4688,3520,2403,1723,3731,2993.5
S01006529,6,6,8,6,4,2,8,3,4128,3770,4919,4175,2602,945,5074,1722
S01006530,4,5,4,4,2,3,8,4,2531,2817,2733,2391,1343,1626.5,5369,2548
S01006531,4,4,5,3,2,2,7,3,2240,2432,2936,2052,1194,1122,4672,1802
S01006532,9,8,9,8,10,9,6,4,6177,5569,6078,5469,6307,6110,3906,2711
S01006533,10,10,10,10,10,10,5,8,6930,6819,6767,6883,6880,6946,3401,5468.5
S01006534,10,10,10,10,10,9,6,7,6908,6709,6843,6749,6468,6168,3725,4828
S01006535,10,9,10,10,9,5,8,7,6796,6181,6614,6482,5914,2839,5470,4601
S01006536,10,10,10,10,8,2,9,5,6693,6531,6657,6316,5442,1197,6045,2928
S01006537,10,10,10,8,10,10,3,10,6538,6500,6877,5163,6719,6398,1721,6585
S01006538,10,10,10,10,10,10,2,10,6529,6457,6777,6737,6670,6461.5,1188,6569
S01006539,10,10,10,10,10,10,4,8,6823,6746,6785,6283,6533,6328,2783,5483
S01006540,10,10,10,10,10,7,3,7,6427,6317,6470,6502,6698,4761,1783,4382
S01006541,10,9,10,9,10,10,6,10,6824,6088,6724,6108,6659,6619,3609,6523
S01006542,10,10,10,10,10,9,4,9,6891,6803,6929,6769,6785,6239,2607,5877
S01006543,10,9,10,9,10,10,4,9,6419,5702,6532,5677,6593,6900,2348,5803
S01006544,10,10,10,10,10,5,6,6,6804,6466,6853,6399,6687,3379.5,4025,3655
S01006545,10,9,9,9,10,7,8,7,6486,5669,5748,5632,6390,4757,5222,4688
S01006546,10,10,9,9,10,10,9,9,6884,6491,5889,6245,6431,6799,6014,5715
S01006547,6,6,6,6,9,6,1,3,3598,3806,3970,3907,6230,4090,680,1499
S01006548,10,10,10,10,10,10,2,8,6570,6870,6737,6645,6601,6499,1239,5569
S01006549,10,10,10,10,10,9,4,8,6766,6926,6746,6612,6613,6004,2183,4896
S01006550,10,10,10,10,10,10,4,10,6892,6932,6863,6442,6883,6585,2448,6740
S01006551,3,4,3,3,5,3,3,4,1901,2247,1424,1984,3121,1502,1986,2414
S01006552,9,9,9,10,9,10,3,8,6047,5813,6232,6537,5911,6637,1485,4975
S01006553,7,7,7,6,7,7,6,5,4820,4657,4361,4076,4531,4628,3626,3468
S01006554,7,7,7,6,5,4,7,4,4290,4433,4302,3696,3130,2235,4495,2095
