soa_code,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Access_rank,Environment_rank,Crime_rank,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Access_decile,Environment_decile,Crime_decile
95AA01S1,824,890,890,890,714,167,885,890,10,10,10,10,9,2,10,10
95AA01S2,666,775,619,662,704,121,585,741,8,9,7,8,8,2,7,9
95AA01S3,366,758,178,276,441,193,415,522,5,9,2,4,5,3,5,6
95AA02W1,370,392,346,270,305,629,204,348,5,5,4,4,4,8,3,4
95AA03W1,185,279,207,149,123,509,100,222,3,4,3,2,2,6,2,3
95AA04W1,695,795,769,823,687,110,661,337,8,9,9,10,8,2,8,4
95AA05W1,668,647,666,541,741,205,530,808,8,8,8,7,9,3,6,10
95AA06S1,655,579,645,646,638,247,672,579,8,7,8,8,8,3,8,7
95AA06S2,557,529,532,601,492,282,699,226,7,6,6,7,6,4,8,3
95AA07W1,570,568,617,501,423,242,453,651,7,7,7,6,5,3,6,8
95AA08W1,111,165,86,148,148,420,234,43,2,2,1,2,2,5,3,1
95AA09W1,305,239,304,304,234,701,256,362,4,3,4,4,3,8,3,5
95AA10W1,326,267,308,339,321,587,341,154,4,3,4,4,4,7,4,2
95AA11S1,615,605,581,480,472,696,441,232,7,7,7,6,6,8,5,3
95AA11S2,775,803,730,730,646,602,722,346,9,10,9,9,8,7,9,4
95AA12W1,729,830,762,851,807,89,743,694,9,10,9,10,10,1,9,8
95AA13S1,641,650,545,548,707,342,469,479,8,8,7,7,8,4,6,6
95AA13S2,624,452,565,571,587,552,551,600,8,6,7,7,7,7,7,7
95AA14W1,652,740,575,572,783,149,464,804,8,9,7,7,9,2,6,10
95AA15S1,534,589,589,321,375,523,421,300,6,7,7,4,5,6,5,4
95AA15S2,345,405,484,268,206,339,215,239,4,5,6,4,3,4,3,3
95AA16W1,208,258,217,175,110,672,299,238,3,3,3,2,2,8,4,3
95AA17W1,360,386,423,293,197,636,347,163,5,5,5,4,3,8,4,2
95AA18W1,833,819,826,836,826,338,808,526,10,10,10,10,10,4,10,6
95AA19W1,416,381,440,539,396,130,618,661,5,5,5,7,5,2,7,8
95BB01S1,747,743,787,773,759,208,788,531,9,9,9,9,9,3,9,6
95BB01S2,728,770,702,689,629,279,844,567,9,9,8,8,8,4,10,7
95BB02W1,292,288,293,327,238,658,76,274,4,4,4,4,3,8,1,4
95BB03S1,333,396,303,511,202,164,512,423,4,5,4,6,3,2,6,5
95BB03S2,646,670,633,766,577,135,625,697,8,8,8,9,7,2,8,8
95BB04S1,608,538,510,440,711,824,232,338,7,7,6,5,8,10,3,4
95BB04S2,801,832,718,803,794,379,664,519,9,10,9,10,9,5,8,6
95BB05S1,606,660,557,668,724,104,367,765,7,8,7,8,9,2,5,9
95BB05S2,519,642,421,637,451,115,490,757,6,8,5,8,6,2,6,9
95BB06W1,167,168,173,190,167,815,94,83,2,2,2,3,2,10,2,1
95BB07S1,391,378,411,313,455,726,159,114,5,5,5,4,6,9,2,2
95BB07S2,693,683,574,708,452,538,665,725,8,8,7,8,6,7,8,9
95BB08S1,296,213,358,326,146,679,411,421,4,3,5,4,2,8,5,5
95BB08S2,858,847,797,805,728,492,647,873,10,10,9,10,9,6,8,10
95BB09S1,779,771,660,760,818,453,593,698,9,9,8,9,10,6,7,8
