lad_code,Score,Proportion,Extent,Income_Score,Income_Proportion,Employment_Score,Employment_Proportion,Education_Score,Education_Proportion,Health_Score,Health_Proportion,Crime_Score,Crime_Proportion,Housing_and_Access_Score,Housing_and_Access_Proportion,Environment_Score,Environment_Proportion
E06000001,35.037,0.3621,0.4973,0.228,0.3793,0.185,0.431,30.255,0.2069,0.869,0.3621,0.566,0.3276,14.242,0,6.943,0
E06000002,40.46,0.4884,0.571,0.251,0.5,0.191,0.4884,38.85,0.3953,1.194,0.5698,0.701,0.4535,14.183,0,12.929,0
E06000003,29.792,0.2386,0.363,0.186,0.2614,0.165,0.3295,27.768,0.1932,0.79,0.3523,0.138,0.1364,14.139,0,7.793,0.0114
E06000004,25.79,0.2083,0.3024,0.164,0.2167,0.135,0.2083,24.786,0.1667,0.684,0.2833,-0.111,0.1,15.87,0.0167,6.007,0
E06000005,25.657,0.1846,0.2891,0.153,0.1846,0.128,0.1846,27.402,0.2,0.532,0.2462,0.558,0.2923,11.942,0.0308,8.8,0
E06000006,32.325,0.3165,0.4678,0.185,0.2911,0.158,0.3671,29.565,0.1772,0.93,0.4557,0.272,0.1392,16.214,0,19.914,0.0759
E06000007,18.942,0.0787,0.1837,0.109,0.063,0.097,0.1024,18.671,0.1024,0.278,0.126,-0.137,0.0472,17.152,0,17.006,0.0472
E06000008,36.013,0.3626,0.5519,0.212,0.3297,0.162,0.3297,34.512,0.2637,1.049,0.5055,0.409,0.1648,12.312,0,32.083,0.2637
E06000009,45.039,0.4149,0.5766,0.247,0.3617,0.209,0.4362,38.502,0.2553,1.643,0.6702,0.815,0.3617,11.804,0,39.531,0.4043
E06000010,40.564,0.4518,0.5505,0.227,0.4217,0.166,0.4277,41.672,0.4157,0.853,0.3916,0.841,0.3373,21.108,0.0422,34.324,0.2892
E06000011,15.605,0.0619,0.0891,0.096,0.0476,0.085,0.0571,17.434,0.0571,-0.39,0.0333,-0.542,0.0429,19.842,0.119,17.541,0.0571
E06000012,31.335,0.3019,0.3858,0.19,0.283,0.145,0.2453,35.861,0.2925,0.38,0.1509,0.484,0.3679,13.386,0.0189,26.35,0.1792
E06000013,22.096,0.1089,0.2043,0.133,0.0792,0.109,0.0594,28.419,0.1782,0.233,0.1089,0.111,0.1287,14.96,0.0495,15.331,0
E06000014,11.727,0.0083,0.054,0.072,0,0.058,0.0083,15.698,0.0667,-0.316,0.0083,-0.816,0,15.871,0.0083,18.292,0.0417
E06000015,26.323,0.1589,0.3427,0.158,0.1788,0.115,0.0927,33.417,0.2715,0.526,0.1854,-0.105,0.0331,19.864,0,21.078,0.0728
E06000016,30.877,0.2031,0.3713,0.196,0.2552,0.119,0.151,37.277,0.2969,0.594,0.2083,0.484,0.224,16.433,0,25.981,0.0833
E06000017,8.381,0,0,0.056,0,0.049,0,7.826,0,-1.048,0,-1.205,0,23.583,0.2609,15.669,0
E06000018,34.891,0.3077,0.5235,0.199,0.3022,0.136,0.3077,37.51,0.3132,0.861,0.3022,0.438,0.1538,23.586,0.0549,29.791,0.1099
