lsoa_code,IMD_decile,Income_decile,Employment_decile,Education_decile,Health_decile,Crime_decile,Housing_and_Access_decile,Environment_decile,IMD_rank,Income_rank,Employment_rank,Education_rank,Health_rank,Crime_rank,Housing_and_Access_rank,Environment_rank
E01000001,9,10,10,10,10,10,3,3,29199,32831,32742,32842,32113,32662,7319,7789
E01000002,10,10,10,10,10,10,4,4,30379,29901,31190,32832,29705,32789,11707,13070
E01000003,5,6,5,9,6,9,1,2,14915,18510,15103,26386,17600,29363,2157,4092
E01000005,3,2,3,4,6,10,1,3,8678,6029,7833,12370,17907,31059,2217,9397
E01000006,5,5,7,6,7,6,1,4,14486,14023,21692,17511,21581,18848,1033,10629
E01000007,3,2,4,7,5,2,1,4,7256,6261,11487,20536,16414,4925,274,11162
E01000008,2,2,2,4,4,4,1,3,5010,3382,6431,10569,12334,11113,981,8672
E01000009,3,3,4,6,3,2,1,3,6736,7506,11132,16819,9661,4431,554,9611
E01000010,3,3,6,7,5,1,1,1,6900,8902,17988,20182,16050,2164,259,2269
E01000011,3,3,5,4,6,3,1,2,7698,9033,16108,12224,18178,8727,110,4309
E01000012,2,2,5,5,6,3,1,2,5990,4570,13201,13896,16887,8515,39,5437
E01000013,2,2,3,4,3,1,1,3,4573,5966,7013,11346,7172,2236,1018,8569
E01000014,2,3,3,3,4,2,1,4,5650,6627,7932,7994,10972,5163,872,11704
E01000015,2,2,3,4,5,4,1,4,6405,5755,9271,10318,15626,10845,278,11351
E01000016,3,3,3,3,4,3,1,4,6739,6711,9461,8971,10676,8699,1273,11815
E01000017,2,2,2,4,3,4,1,4,4570,4033,5016,11972,6950,11685,902,10141
E01000018,2,2,3,4,4,3,1,4,6504,5998,7832,10125,12006,9663,1323,11373
E01000019,2,3,3,4,3,3,1,4,6410,7049,7641,10264,9374,7142,1855,10667
E01000020,2,2,3,4,2,3,1,3,5520,5760,8401,11245,6282,7066,1319,8756
E01000021,2,2,3,3,4,3,1,1,4611,5007,7865,7939,10085,8283,961,3095
E01000022,2,3,3,3,4,3,1,3,6098,6941,7576,9771,9980,9002,1191,8559
E01000023,2,2,4,4,5,1,1,2,5243,5088,11325,11907,15505,1812,912,4268
E01000024,3,4,4,3,4,4,1,3,8333,10056,12570,8860,12148,12816,940,8892
E01000025,2,2,3,4,4,2,1,4,5303,5570,7683,10465,10405,5042,707,9925
E01000027,2,2,3,2,5,1,1,5,5097,5730,6959,5869,13752,3211,1062,15032
E01000028,2,2,2,3,1,6,1,6,4240,3610,6080,9522,3254,18303,494,18166
E01000029,4,5,6,5,7,4,1,5,12389,14506,17567,15570,20355,11162,627,13867
E01000030,2,2,2,2,5,3,1,5,4760,3448,5569,5699,15751,9086,1127,14570
E01000031,4,4,6,6,5,2,2,4,12267,12951,17380,19087,15303,4231,4505,10136
E01000032,3,4,4,4,5,2,1,2,8037,10854,11603,11882,14597,4275,2210,4853
E01000033,2,2,3,3,4,5,1,5,4879,3732,7857,7805,11932,14128,52,14002
E01000034,2,2,3,3,3,4,1,6,5575,5759,6863,7148,7279,11900,1044,16800
E01000035,4,4,5,4,4,4,1,4,10070,10489,13897,10551,10364,12838,2476,13084
E01000036,5,5,6,6,6,4,2,4,15028,14690,17997,16612,18923,10655,5829,10188
E01000037,5,6,4,5,8,6,3,5,16128,16924,12386,13611,23465,17649,7168,15997
E01000038,5,4,6,5,6,5,3,4,14671,12877,16560,14630,17616,13426,8490,10547
E01000039,4,4,6,5,5,5,1,6,12542,12861,17820,13908,13416,15241,1472,17185
E01000040,2,2,3,3,5,3,1,3,6028,5648,9313,8063,13665,7641,915,9203
E01000041,3,3,4,3,4,4,1,3,6601,8647,11669,7142,10992,10010,501,7142
E01000042,2,2,2,3,3,4,1,4,3842,3492,5445,8009,8795,12499,32,11945
E01000043,3,4,5,3,5,3,1,3,8992,10803,15314,8996,15334,8080,1445,6764
E01000044,3,4,6,4,7,1,1,1,8825,12202,16632,12369,22250,2950,1507,3119
E01000045,2,3,3,4,4,1,1,2,5639,7494,9056,11338,11924,2160,1145,6123
E01000046,3,3,4,3,4,6,1,3,8138,8795,10956,9321,12756,17088,996,8655
E01000048,1,1,2,4,3,4,1,5,3117,1195,4191,10073,9163,12778,449,14836
E01000049,2,1,3,3,4,4,1,4,3928,2525,7156,9454,10214,10784,58,10818
E01000050,2,3,4,4,3,2,1,2,5994,8360,10452,12144,7817,6059,567,5545
E01000051,2,2,3,3,4,2,1,4,5228,4785,8540,9315,10460,4814,892,10252
