lsoa_code,Education_decile,Children_and_young_people_decile,Adult_skills_decile,Housing_and_Access_decile,Geographical_barriers_decile,Wider_barriers_decile,Environment_decile,Indoors_decile,Outdoors_decile,Education_rank,Children_and_young_people_rank,Adult_skills_rank,Housing_and_Access_rank,Geographical_barriers_rank,Wider_barriers_rank,Environment_rank,Indoors_rank,Outdoors_rank
E01000001,10,10,10,3,7,1,3,5,1,32842,32777,32843,7319,22985,3216,7789,16364,1615
E01000002,10,10,10,4,10,2,4,7,1,32832,32666,32841,11707,30223,3894,13070,22676,2969
E01000003,9,7,10,1,9,1,2,6,1,26386,20837,30999,2157,26719,818,4092,17318,162
E01000005,4,4,5,1,10,1,3,8,1,12370,10914,13658,2217,30865,672,9397,25218,849
E01000006,6,7,5,1,7,1,4,5,2,17511,21932,13244,1033,22527,520,10629,14745,4368
E01000007,7,6,7,1,9,1,4,7,1,20536,18304,21531,274,29432,33,11162,20820,2319
E01000008,4,5,3,1,8,1,3,8,1,10569,14007,7918,981,24033,443,8672,25009,674
E01000009,6,5,6,1,10,1,3,6,1,16819,14445,18554,554,31919,92,9611,18146,2131
E01000010,7,5,8,1,10,1,1,2,1,20182,15696,24261,259,30844,6,2269,4411,2600
E01000011,4,4,4,1,7,1,2,3,1,12224,11826,12319,110,21499,76,4309,7302,2975
E01000012,5,4,6,1,6,1,2,4,1,13896,10384,17915,39,17789,17,5437,10072,2291
E01000013,4,7,2,1,9,1,3,4,2,11346,20313,6191,1018,27232,353,8569,11278,4652
E01000014,3,5,2,1,8,1,4,6,2,7994,13822,4591,872,23504,408,11704,17101,4096
E01000015,4,5,3,1,8,1,4,5,2,10318,14299,7399,278,25404,106,11351,13355,6362
E01000016,3,6,2,1,9,1,4,5,2,8971,19091,4128,1273,26817,474,11815,14857,5657
E01000017,4,7,3,1,9,1,4,4,2,11972,20963,6637,902,27545,300,10141,12152,5857
E01000018,4,6,2,1,9,1,4,5,2,10125,18176,5585,1323,29386,415,11373,14147,5673
E01000019,4,6,2,1,10,1,4,5,2,10264,16871,6179,1855,30000,578,10667,14859,4335
E01000020,4,6,3,1,9,1,3,4,2,11245,16828,7404,1319,29057,424,8756,11307,4860
E01000021,3,3,3,1,10,1,1,2,2,7939,9411,6756,961,31715,227,3095,4754,3861
E01000022,3,5,3,1,8,1,3,4,2,9771,14132,6768,1191,25850,467,8559,10574,5315
E01000023,4,4,4,1,9,1,2,2,2,11907,12213,11429,912,27825,298,4268,5351,5573
E01000024,3,4,3,1,8,1,3,4,2,8860,11023,7137,940,25151,384,8892,10947,5356
E01000025,4,7,2,1,8,1,4,4,2,10465,20333,5282,707,23240,354,9925,12932,4893
E01000027,2,3,2,1,8,1,5,6,3,5869,7727,4503,1062,23733,488,15032,17723,7457
E01000028,3,5,3,1,7,1,6,7,3,9522,13449,6746,494,22948,261,18166,22589,7885
E01000029,5,6,4,1,3,1,5,6,3,15570,19230,12029,627,8769,1504,13867,16797,6637
E01000030,2,2,2,1,10,1,5,6,3,5699,6517,5053,1127,31835,281,14570,17259,7187
E01000031,6,8,5,2,10,1,4,5,2,19087,23145,14798,4505,30815,1391,10136,14325,4133
E01000032,4,6,3,1,8,1,2,2,2,11882,19013,7254,2210,26230,861,4853,5798,5942
E01000033,3,5,2,1,3,1,5,6,3,7805,14782,4060,52,7170,720,14002,16784,6845
E01000034,3,4,2,1,5,1,6,7,3,7148,10220,5044,1044,13977,1095,16800,20169,7859
E01000035,4,4,3,1,8,1,4,5,3,10551,12327,8992,2476,25142,1025,13084,15576,6665
E01000036,6,9,3,2,10,1,4,4,3,16612,27407,9491,5829,30739,1822,10188,11074,7166
E01000037,5,6,4,3,7,2,5,6,3,13611,16504,10773,7168,21566,3370,15997,19566,7243
E01000038,5,8,3,3,10,1,4,5,2,14630,23353,8726,8490,30849,2687,10547,15635,3788
E01000039,5,6,4,1,3,1,6,7,3,13908,16465,11333,1472,8276,2653,17185,20767,7906
E01000040,3,4,2,1,10,1,3,5,1,8063,10328,6320,915,32510,197,9203,15851,2604
E01000041,3,5,2,1,6,1,3,3,2,7142,13820,3658,501,17646,465,7142,9181,4871
E01000042,3,4,2,1,4,1,4,6,2,8009,10945,5889,32,12073,193,11945,17989,3874
E01000043,3,5,2,1,10,1,3,5,1,8996,14911,5395,1445,29917,444,6764,14886,1469
E01000044,4,5,4,1,10,1,1,2,1,12369,13199,11293,1507,32363,399,3119,6093,2310
E01000045,4,5,3,1,10,1,2,5,1,11338,15194,8353,1145,30779,310,6123,13893,1381
E01000046,3,6,2,1,8,1,3,4,2,9321,17811,4804,996,23113,483,8655,10463,5568
E01000048,4,5,2,1,6,1,5,8,2,10073,15567,6486,449,19290,362,14836,25002,3460
E01000049,3,5,2,1,6,1,4,8,1,9454,14660,6083,58,16540,103,10818,26098,1203
E01000050,4,5,4,1,9,1,2,4,1,12144,13872,10379,567,27391,183,5545,11342,1820
E01000051,3,5,2,1,8,1,4,6,1,9315,15262,5648,892,24633,380,10252,18159,2514
E01000052,3,3,3,1,6,1,2,4,1,9645,9636,9722,163,17504,255,4788,12259,1073
E01000053,3,4,3,1,7,1,4,6,2,9519,12584,7220,395,22261,231,10870,16964,3410
E01000054,4,6,2,1,9,1,3,4,2,9978,17398,5665,1537,29422,491,8004,10278,4863
E01000055,3,5,3,1,9,1,3,5,2,9752,14424,6607,1392,29330,441,9167,13530,3672
E01000056,4,7,2,1,6,1,4,6,2,10670,21267,5223,165,16431,301,12777,17777,4751
E01000057,3,3,3,1,10,1,3,5,1,8006,7530,8590,1279,32549,320,8781,15268,2540
E01000058,4,5,3,1,8,1,4,5,2,10397,14195,7571,848,25492,336,10066,13395,4696
E01000059,3,5,2,1,9,1,3,3,2,9341,14264,6093,1021,26300,381,7356,8455,6129
E01000060,4,5,3,1,7,1,4,7,1,10548,15281,7218,509,20889,334,11955,22458,2365
E01000061,2,4,1,1,5,1,6,8,3,5414,11898,2397,375,15540,497,18454,24546,6930
E01000062,3,3,3,1,7,1,5,7,2,8286,9500,7276,1042,22217,540,15164,20172,5836
E01000063,2,3,2,1,10,1,2,3,2,6017,6917,5289,1689,29831,529,6036,8854,3765
E01000064,4,6,2,1,5,1,3,3,2,11115,19147,6325,310,15928,442,6602,8224,5273
E01000065,4,5,3,1,10,1,3,5,2,10220,14838,7011,634,31236,135,9210,13496,3724
E01000066,5,8,3,1,5,1,6,7,3,14926,24280,8701,249,13160,566,16885,21990,6653
E01000067,6,9,3,1,8,1,5,8,1,16594,26697,9732,1551,25210,647,14035,23747,3283
E01000068,5,8,4,1,7,1,3,5,1,16416,23514,10888,1777,21168,959,8062,13601,2693
E01000069,5,9,3,2,10,1,3,5,2,16211,26497,9380,5792,31463,1760,9748,13416,4326
E01000070,6,9,4,2,10,1,4,6,1,17805,26496,11292,3806,30459,1193,10170,17756,2599
E01000071,6,8,4,1,9,1,5,6,2,18062,24713,12477,1935,28692,648,13807,19206,4946
E01000072,3,4,2,1,10,1,3,5,1,7028,11215,4412,722,29842,187,8754,14695,2754
E01000073,3,4,2,1,9,1,4,5,2,6712,10533,4327,1340,29391,420,12681,15294,6399
E01000074,3,4,2,1,8,1,5,6,2,7662,9857,6004,641,24511,290,13256,17623,5343
E01000075,2,3,2,1,8,1,2,3,1,6343,9178,4457,1086,23262,515,4325,8552,2107
E01000076,2,5,1,1,6,1,4,5,2,6380,13198,3062,338,19133,311,10531,13832,4909
E01000077,3,5,2,1,10,1,2,3,2,7276,15103,3444,1218,31890,308,6233,9385,3541
E01000078,3,4,2,1,10,1,3,4,2,7216,10642,4923,1183,32263,289,7156,10560,3643
E01000079,4,7,2,1,7,1,3,4,2,11072,20146,5948,566,21794,337,9200,12225,4590
E01000080,4,6,2,1,9,1,4,6,2,10114,19031,5310,989,26984,351,12095,17552,4240
E01000081,3,5,2,1,9,1,3,4,2,8201,14401,4631,1281,27821,446,7318,10259,4067
E01000082,3,5,2,1,10,1,3,4,2,8160,13315,4983,1396,31015,395,8806,12618,3891
E01000083,3,5,2,1,9,1,2,3,2,9793,15021,6377,1199,28938,375,6063,9339,3387
E01000084,2,3,2,1,10,1,3,5,2,6237,8285,4732,1344,29882,407,9648,14489,3575
E01000085,2,4,2,1,10,1,3,4,1,6360,10790,3787,871,31918,190,7484,11722,3185
E01000086,3,5,2,1,9,1,4,5,2,9185,13796,6098,1477,28655,495,11002,13426,5799
E01000087,3,6,2,1,6,1,3,4,2,9744,19240,4871,506,19396,389,8076,10899,4376
E01000088,5,7,3,1,9,1,2,4,1,13589,21132,8349,1238,29079,388,6458,11152,2612
E01000089,4,6,2,1,6,1,2,2,2,10703,17741,6354,668,18118,551,3962,6291,3475
E01000090,4,6,3,1,8,1,3,5,2,12523,18766,8068,973,23410,461,9116,13462,3661
E01000091,3,5,2,1,9,1,4,7,1,7594,14175,4038,540,29127,134,12738,21552,3098
E01000092,5,6,4,1,3,1,3,4,2,14566,17456,11654,11,6695,339,8818,11071,5141
E01000093,3,4,3,1,10,1,1,3,1,9411,11967,7427,370,30284,51,3282,7927,1366
E01000094,7,7,7,1,2,1,5,6,3,21017,20044,20592,4,5990,178,14763,17879,6965
E01000095,4,5,4,1,2,1,5,8,2,12341,13525,10969,7,4869,432,16305,24123,4932
E01000096,3,3,2,1,8,1,3,6,1,7010,9502,5215,534,25785,203,8823,19379,1451
E01000097,3,4,2,1,9,1,3,5,2,7462,11951,4676,692,26350,259,9628,14400,3606
E01000098,3,5,2,1,10,1,3,5,2,8040,14609,4375,1332,31589,359,9574,14540,3476
E01000099,4,6,2,1,8,1,4,4,2,10808,19704,5805,688,24504,309,10685,12322,6447
E01000100,3,5,2,1,10,1,2,3,2,8731,13758,5509,1444,30876,416,4920,7533,3551
E01000101,3,5,2,1,10,1,2,4,1,8974,16128,4947,1362,30149,410,5302,11709,1518
E01000102,4,6,3,1,9,1,3,4,2,11364,19094,6621,1167,27527,406,6799,10297,3468
E01000103,4,6,2,1,6,1,5,6,3,10205,19574,5238,227,19343,242,15230,18334,7207
E01000104,3,4,2,1,8,1,6,7,3,7929,12257,5131,304,24145,148,16764,21274,6982
E01000105,2,3,2,1,10,1,4,6,2,6402,9004,4641,670,32470,124,11416,17467,3656
E01000106,3,4,3,1,8,1,4,4,3,9725,11307,8417,180,24354,81,11010,12629,6597
E01000107,3,4,2,1,5,1,5,5,3,8851,12115,6463,1156,14364,1142,13252,15782,6722
E01000108,5,7,3,1,10,1,2,3,2,13397,20209,8519,1914,31957,534,6178,7060,6286
E01000109,4,6,3,1,8,1,3,3,2,12247,19385,7479,2272,25228,931,6609,9628,3806
E01000110,6,9,4,2,8,1,5,6,3,19168,26598,12974,5156,23918,2179,14867,18555,6582
E01000111,5,6,3,1,8,1,4,5,2,13216,18864,8911,1179,24068,527,10690,13212,5584
E01000112,5,5,4,1,10,1,2,2,2,14420,16006,12515,1404,29744,431,4026,5533,4655
E01000113,5,6,5,1,8,1,4,5,2,15827,16743,14295,1615,23102,769,10582,15086,4125
E01000114,5,7,3,1,10,1,2,3,2,14308,22575,8695,1978,29661,634,6563,8739,4585
E01000115,9,10,8,7,9,3,5,8,2,28835,32168,24118,20425,26337,9000,16164,23150,5248
E01000116,9,9,9,6,8,3,6,6,3,28684,29020,26423,17651,24292,8025,16614,18140,9457
E01000117,8,8,8,5,8,3,6,6,3,26087,24392,25868,14896,23807,6611,17080,19026,9295
E01000118,8,7,7,5,7,2,6,7,3,23320,22885,22072,13923,22918,6368,18191,21236,8982
E01000119,9,10,8,4,6,3,5,6,2,29365,31704,25404,12644,18875,6990,13884,18979,5155
E01000120,9,10,8,6,8,3,6,8,3,27995,31185,23384,17894,25086,7903,19324,24964,7782
E01000121,4,5,4,1,5,1,7,9,3,12192,13279,10905,3010,16034,2145,20733,27805,7683
E01000122,10,10,9,2,4,3,5,5,3,30583,32547,27162,6494,10554,6579,13971,15547,7956
E01000123,8,8,7,2,3,2,6,7,4,23385,24934,20381,4252,9560,5026,18691,21115,9865
E01000124,6,5,7,2,10,1,5,7,2,17610,13376,21959,6538,31004,2035,14719,22069,4419
E01000125,4,5,3,1,7,1,5,8,2,11445,13714,9466,904,22705,454,14835,24384,3654
E01000126,6,7,5,1,4,1,4,5,3,18871,20658,16217,201,12820,546,12134,14138,6740
E01000127,4,6,3,1,10,1,5,6,2,12944,17247,9357,2978,31730,881,13192,17813,5140
E01000128,4,6,3,2,9,1,4,5,2,12220,19196,7525,4215,26524,1579,10444,15923,3565
E01000129,4,6,3,1,10,1,4,7,1,11367,18602,6805,2603,31804,762,11448,20555,2560
E01000130,5,6,4,1,7,1,2,3,2,14311,18391,10729,1334,20000,807,6102,7149,6001
E01000131,7,9,5,1,6,1,5,8,1,20987,27242,15078,2472,17539,1639,14578,24954,3276
E01000132,4,5,3,2,10,1,4,6,2,12100,14673,9756,3895,32226,1132,11269,16715,3881
E01000133,4,6,3,1,8,1,4,6,2,11075,16848,7172,2166,24207,948,10732,16552,3486
E01000134,5,5,5,1,9,1,4,4,2,13625,13185,13538,1626,28155,562,10405,12012,6400
