msoa_code,Children_and_young_people_Proportion,Children_and_young_people_Extent,Adult_skills_Proportion,Adult_skills_Extent,Geographical_barriers_Proportion,Geographical_barriers_Extent,Wider_barriers_Proportion,Wider_barriers_Extent,Indoors_Proportion,Indoors_Extent,Outdoors_Proportion,Outdoors_Extent
E02000001,0,0,0,0,0,0.051445459768757903,0.8333333333333334,0.9831676544434212,0.16666666666666666,0.19530668303778734,1,1
E02000002,0,0.23709210348000367,0,0.5168508070555844,0,0.04522114678211994,1,1,0,0,0,0.40725636764359735
E02000003,0,0,0,0.08943195208169674,0,0,1,1,0,0.22906004516889233,0,0.7025441869599371
E02000004,0,0,0,0.20638729627005087,0,0.06071112220575919,0.75,0.9852279681762546,0,0,0,0.4619516201765122
E02000005,0,0.08320919956496237,0,0.4988187362271305,0,0,1,1,0,0.1669792787714173,0.2,0.9043731529407746
E02000007,0,0.02244793482049494,0.2,0.61528897263855,0,0.06746688741721853,1,1,0,0.06253893996165909,0.2,0.6472401642558382
E02000008,0,0,0,0.6248270897076594,0,0,1,1,0,0.014967560572168082,0,0.9020414984701617
E02000009,0,0.015591554094680717,0,0.43941831683168314,0,0,1,1,0,0.3124724415761414,0,0.7587134725618311
E02000010,0,0,0,0.5791913922966032,0,0,1,1,0,0,0,0.6283417955294132
E02000011,0,0,0,0.255146389120264,0,0,1,1,0,0.11102764306121017,0,0.4781163639760545
E02000012,0,0,0,0.06449307326152919,0,0,1,1,0,0,0.4,0.7967486985099513
E02000013,0,0.10623826125569308,0.2,0.6999411937665392,0,0,1,1,0,0.04851724282773973,0.4,0.7860992265180109
E02000014,0,0.03373745499118976,0,0.701899399152904,0,0,1,1,0,0.04070903240634336,0.16666666666666666,0.7965555263705114
E02000015,0,0.043026856710120596,0,0.5958565478444312,0,0,1,1,0,0,0,0.5829008221993832
E02000016,0,0,0,0.0505565263750259,0,0,1,1,0,0.2905147646832331,1,1
E02000017,0,0,0,0,0,0,1,1,0,0.19312384352997508,0.8,0.9559817211229804
E02000018,0,0,0,0.6740488634982374,0,0,1,1,0,0.02666524857177584,0.4,0.8667116036995701
E02000019,0,0,0,0.4185959305360602,0,0.15681559806503254,1,1,0,0,0,0.786898947832442
E02000020,0,0.00905849392987519,0,0.1708176013512004,0,0.1813631306383796,1,1,0,0,0.8,0.8907813191183238
E02000021,0,0,0,0.4321887365168843,0,0,1,1,0,0.11259899663336163,0.2,0.9291340692961376
E02000022,0,0,0,0.31434910075326705,0,0,1,1,0,0.06900618516652603,0.6,0.9797139891592666
E02000023,0,0.021393588756390775,0,0.4777344210665057,0,0.1595665716287555,1,1,0,0.06499032278204406,0.75,0.8404334283712445
E02000024,0,0,0,0,0,0,0,0.3815562842057043,0,0.007311039853412725,0,0.42131374014514067
E02000025,0,0,0,0.023395111888986107,0,0.0700618827353419,0,0.7568752344043004,0,0,0,0.22044193024128014
E02000026,0,0,0,0,0,0,0,0.33053922708645755,0,0,0,0.19262492281289836
E02000027,0,0,0,0.13465709253771901,0,0,0.5,0.8588944807655121,0,0,0,0.1486025534494562
E02000028,0,0,0,0,0,0.07906893153694546,0,0.5161020645536493,0,0.04534344609221025,0,0.5021009014248328
E02000029,0,0,0,0,0,0,0.4,0.6958522971485094,0,0.10575479418985992,0,0.414162952408429
E02000030,0,0,0,0,0.3333333333333333,0.4540036686891491,0.16666666666666666,0.33955693523352615,0,0,0,0.2297877804430647
E02000031,0,0,0,0,0,0.04192931562225081,0,0.4521411797209559,0,0,0.2,0.6548799994183552
E02000032,0,0,0,0,0,0,0,0.3377734473650082,0,0,0,0.4230931205591465
E02000033,0,0,0,0,0,0.009858918374202203,0.4,0.7216198457177542,0,0,0,0.2740015557873521
E02000034,0,0,0,0,0,0,0.2,0.7112068455375002,0,0,0,0.5358698353709774
E02000035,0,0,0,0,0,0.10445830545101815,0.2,0.738538373228066,0,0.01029977837396476,0,0.46504969702922877
E02000036,0,0,0,0.008717748240813124,0,0.17734021005079806,0.3333333333333333,0.8662366432108418,0,0,0,0.6856281634500637
E02000037,0,0,0,0.06541094034509666,0,0,0.3333333333333333,0.49371016864649264,0,0.13042058657764674,0.16666666666666666,0.6008424195786005
E02000038,0,0,0,0,0,0,0.16666666666666666,0.8474130554437769,0,0,0.16666666666666666,0.7806263615801962
E02000039,0,0,0,0,0,0.12407455829068766,0.25,0.541269283926637,0,0,0.25,0.7812883343916924
E02000040,0,0,0,0,0,0.15116046802581817,0.5,0.8008480479968153,0,0,0,0.25074390798714774
