ward_code,Children_and_young_people_Proportion,Children_and_young_people_Extent,Adult_skills_Proportion,Adult_skills_Extent,Geographical_barriers_Proportion,Geographical_barriers_Extent,Wider_barriers_Proportion,Wider_barriers_Extent,Indoors_Proportion,Indoors_Extent,Outdoors_Proportion,Outdoors_Extent
E05000026,0,0,0,0.031259202285463125,0,0,1,1,0,0.2239708090686005,0.8571428571428571,0.9727282716185035
E05000027,0,0,0,0.6143240882288709,0,0,1,1,0,0,0,0.6570408386110503
E05000028,0,0.011819694299258535,0,0.3465192734289534,0,0,1,1,0,0.2264306931445241,0,0.7534702807827883
E05000029,0,0.16124448217317486,0,0.41322701916080523,0,0.03075454765947125,1,1,0,0.10003031772980837,0,0.5046058695124909
E05000030,0,0,0,0.2691839971801198,0,0.09242226777730365,0.8571428571428571,0.9914918928445542,0,0,0,0.46181056712984425
E05000031,0,0,0,0.5280852198300473,0,0,1,1,0,0.1065856648641386,0.5714285714285714,0.8987152789440096
E05000032,0,0.008376511226252149,0,0.22235995074827908,0,0,1,1,0,0.04697382882547866,0.7142857142857143,0.9861909247919611
E05000033,0,0.04924313477435819,0,0.47637468100420954,0,0,1,1,0,0.032452505071215124,0.14285714285714285,0.8118149497240822
E05000034,0,0.08479142434295384,0.16666666666666666,0.5645964489864268,0,0,1,1,0,0.08159094097786385,0.16666666666666666,0.7461174649582938
E05000035,0,0,0,0.05655971161244519,0,0,1,1,0,0,0.5,0.8217508576384017
E05000036,0,0.031230682365768273,0.16666666666666666,0.8285397207065569,0,0,1,1,0,0.05274499019211766,0.3333333333333333,0.8196177116239224
E05000037,0,0,0,0.6670119128178413,0,0,1,1,0,0.017004123480470666,0,0.8810833507782034
E05000038,0,0.027886459445278716,0,0.5613395813356009,0,0,1,1,0,0.08456536881909138,0.2857142857142857,0.9027783557380905
E05000039,0,0.01164119327940449,0,0.2599563259435974,0,0.34209658119335484,1,1,0,0.03536409516943041,0.5,0.7887704450827995
E05000040,0,0,0,0.6773672313023303,0,0,1,1,0,0.0626800116992113,0.16666666666666666,0.8666081706101931
E05000041,0,0.029762823480989846,0,0.5294089997053416,0,0,1,1,0,0.06670735757014502,0,0.5574099538368715
E05000042,0,0,0,0.12645878499930804,0,0,1,1,0,0.1668418746252133,0,0.7537552470132387
E05000043,0,0,0,0,0,0.0052908304290349645,0.2,0.5437662477308521,0,0,0,0.34308249894053716
E05000044,0,0,0,0.1472738977029196,0,0,1,1,0,0.039204509958904066,0.2,0.7987171443083634
E05000045,0,0,0,0,0,0,0.75,0.9436801625129276,0,0.09857973969299273,0.5833333333333334,0.9318407106731796
E05000046,0,0.03271377576051991,0,0.05301887795670467,0,0,1,1,0.2,0.3051676926163045,0.2,0.6181347776384064
E05000047,0,0,0,0,0,0,0.3,0.8860155014682629,0,0,0.2,0.83297591484075
E05000048,0,0,0,0.011681601263432545,0,0,0.2,0.5703631744367145,0,0.05606013789142844,0,0.32531156658770205
E05000049,0,0,0,0,0,0.004825462012320322,0.3,0.7925463556221147,0,0.01096215899090642,0.3,0.8824114186904632
E05000050,0,0,0,0.04205952273479581,0,0,0.5,0.7134026962775721,0,0.09857286870693027,0.1,0.6283899070145346
