dz_code,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Housing_decile,Access_decile,Crime_decile,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_rank,Access_rank,Crime_rank
S01006506,7,6,5,8,9,5,7,7,4691,3936,3220,5174,5887,3248,4724,4664
S01006507,7,7,7,8,7,5,4,7,4862,4829,4481,5051,4384,3486,2148,4602
S01006508,9,7,8,9,9,8,7,7,5686,4460,5110,5942,5915,5342,4200,4563.5
S01006509,7,5,5,6,10,7,6,9,4332,3481,3229,3871,6401,4394.5,3982,5626
S01006510,6,5,5,5,6,6,9,6,3913,3344,3448,3049,4092,3736,5588,3885
S01006511,9,8,8,9,8,9,8,10,6253,5469,5346,5783,5410,5924,4974,6928
S01006512,9,9,9,10,10,7,1,7,5692,6264,6206,6586,6506,4815,547,4528
S01006513,9,10,9,8,10,10,3,10,6177,6572,5695,5516,6531,6394,1490,6928
S01006514,10,10,10,10,10,10,3,8,6715,6704,6658,6733,6847,6868,1858,5507
S01006515,10,10,10,10,10,9,1,10,6363,6955,6803,6846,6838,6174.5,659,6844
S01006516,9,10,8,10,10,10,2,7,5947,6359,5542,6852,6631,6570,1037,4580
S01006517,9,10,8,9,10,9,2,9,5772,6335,5324,6159,6704,5892,931,5594
S01006518,10,10,10,10,10,10,2,10,6674,6864,6851,6919,6960,6960,1161,6792
S01006519,9,10,10,10,10,10,2,9,6229,6474,6284,6776,6904,6856,938,5628
S01006520,10,10,10,10,10,10,2,10,6490,6831,6920,6940,6965,6825,785,6928
S01006521,10,10,10,10,10,10,2,9,6519,6952,6896.5,6952,6808,6869,904,5889
S01006522,10,10,10,10,10,10,2,9,6769,6969,6955,6930,6931,6841,1385,6273
S01006523,10,9,10,10,10,10,4,8,6504,5955.5,6373,6423,6906,6581,2357,5000
S01006524,6,5,5,6,9,9,5,10,4175,3368,2956,4161,6256,6240,3281,6586
S01006525,9,9,8,9,10,9,4,9,6143,5748,5409.5,5894,6810,6259.5,2432,5803
S01006526,4,5,5,5,2,3,3,9,2538,2796,3450,2897,1073,1454,1906,5840
S01006527,3,3,4,3,2,5,5,4,2030,2045,2228,2072,1360,3235,2976,2692
S01006528,6,6,6,5,5,3,6,6,3834,3529,4079,3285,3178,1723,3717,3786
S01006529,6,6,7,6,4,2,6,3,3770,3619,4557,4117,2612,945,3842,1432
S01006530,4,4,4,4,2,3,9,4,2218,2282,2360,2679,1021,1626.5,5745,2494
S01006531,3,3,4,3,1,2,8,4,1611,1802,2419,1933,320,1122,5143,2237
S01006532,9,8,8,9,9,9,6,5,5977,5440,5265,5684,6177,6110,3920,3342
S01006533,10,10,10,10,10,10,5,6,6786,6688,6361,6790,6781,6946,3089,4095
S01006534,10,10,10,10,10,9,6,5,6831,6483,6616,6760,6588,6168,4158,3383
S01006535,10,9,9,10,9,5,9,7,6734,6182,6081,6633,6174,2839,5586,4257
S01006536,9,8,8,9,7,2,9,3,5634,5325,5383,5967,4874,1197,5925,1729
S01006537,10,10,10,8,10,10,4,10,6664,6697,6758,5227,6845,6398,2127,6866
S01006538,10,10,10,10,10,10,2,10,6457,6724,6391,6474,6537,6461.5,1286,6731
S01006539,10,9,9,10,10,10,5,9,6727,6250.5,6109,6374,6757,6328,3394,5867
S01006540,10,10,9,10,10,7,4,8,6478,6516,5795,6597,6561,4761,2417,5378
S01006541,10,9,9,9,10,10,6,10,6548,5792,5861,5596,6878,6619,3887,6463
S01006542,10,10,10,10,10,9,3,9,6751,6862,6611,6667,6535,6239,2069,5703
S01006543,10,10,10,9,10,10,4,10,6756,6641,6493,5682,6676,6900,2700,6928
S01006544,10,10,10,10,10,5,7,10,6937,6644,6927,6511,6534,3379.5,4316,6663
S01006545,10,9,9,9,10,7,7,6,6594,6217.5,5967,6012,6408,4757,4572,3834
S01006546,10,10,9,10,10,10,10,10,6951,6663.5,5953,6305,6966,6799,6399,6928
S01006547,6,6,6,7,10,6,1,3,3784,4021,3752,4381,6395,4090,661,2085
S01006548,10,10,9,10,10,10,2,10,6455,6623,6264,6698,6765,6499,1259,6928
S01006549,10,10,10,10,10,9,4,8,6820,6908,6827,6466,6819,6004,2363,5084
S01006550,10,10,10,10,10,10,3,8,6760,6875,6706,6378,6963,6585,2008,5324
S01006551,3,3,2,3,6,3,3,1,1474,1882,999,2047,3550,1502,1754,523
S01006552,9,9,9,10,8,10,3,8,6084,5879,6124,6688,5534,6637,1694,5052
S01006553,8,8,7,6,9,7,4,7,5280,5211,4719,4149,5829,4628,2781,4687
S01006554,6,6,6,7,7,4,7,2,3924,3537,3857,4396,4216,2235,4460,923
S01006555,3,4,3,2,3,2,4,1,1608,2495,1432,1362,2039,1067,2597,463
