iz_code,Proportion,Extent,Income_Proportion,Income_Extent,Employment_Proportion,Employment_Extent,Education_Proportion,Education_Extent,Health_Proportion,Health_Extent,Crime_Proportion,Crime_Extent,Housing_Proportion,Housing_Extent,Access_Proportion,Access_Extent
S02001236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.11874075639129517
S02001237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6084563509788754
S02001238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4387961680517082
S02001239,0,0.06976348324672996,0,0.0471189845245617,0,0,0.16666666666666666,0.4675322287083054,0,0.03134931487471588,0,0.08116400569601749,0,0.4350328652665528,0,0.02388508001772931
S02001240,0,0,0,0,0,0,0,0,0,0,0,0.06373558701746564,0,0.13741158668903147,0,0
S02001241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07907540182792308
S02001242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01168650793650792
S02001243,0,0.05171975175190099,0,0.02316283360667958,0,0.09169943715521096,0,0,0,0.006028682719546734,0.16666666666666666,0.13550814447592066,0,0.05171975175190099,0.16666666666666666,0.46216173400924404
S02001244,0,0.1505988728727897,0,0.04209972444924464,0,0.2127203367534859,0,0.0652833741813096,0,0.21664797352497261,0.2,0.3533903820324291,0,0.19848377850704102,0,0.03219443636716098
S02001245,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.14502640845070422,0,0,0,0
S02001246,0,0,0,0,0,0.01269871824968308,0,0.008224799286351461,0,0,0,0.03740973754636366,0.5714285714285714,0.7072167707404103,0,0
S02001247,0,0,0,0,0,0,0,0,0,0,0,0.23417877707704962,0,0,0,0
S02001248,0,0,0,0,0,0,0,0,0,0,0,0.055035530095586864,0.14285714285714285,0.39189107463839934,0,0
S02001249,0,0,0,0,0,0,0,0.09361130732630508,0,0,0.6,0.6708027348695872,0.6,0.882218682944383,0,0
S02001250,0,0.0785382878684314,0,0,0,0.03953996561652063,0.25,0.48632221048488994,0,0.029790385053542926,1,1,1,1,0,0
S02001251,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.0973752754958926,0.2857142857142857,0.27759335224456655,0,0
S02001252,0,0,0,0,0,0,0,0,0,0,0,0.015877210707107223,0,0.05319788154970166,0,0
S02001253,0,0.1643814653444174,0,0.07431971879928362,0,0.14777471866563308,0,0.3646648044692737,0,0.19088035604501347,0,0.25899802197214716,0,0.0862326588436556,0,0
S02001254,0,0,0,0,0,0.02477067076207869,0,0.09588296945043996,0,0.008408392827494601,0,0,0,0.025882554374896213,0,0.30184552963639383
S02001255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059713806713925496
S02001256,0,0,0,0,0,0,0,0.009743223965763183,0,0,0.2,0.1948644793152639,0,0,0,0
S02001257,0,0.34305948444161116,0,0.21555191441890112,0,0.2170803617674011,0.42857142857142855,0.7755164548388381,0,0.2239830272122395,0.42857142857142855,0.7081517191919997,0.5714285714285714,0.8640961791306426,0,0
S02001258,0.3333333333333333,0.7478969338931744,0.16666666666666666,0.5701854066985645,0.3333333333333333,0.5685186993457669,0.8333333333333334,0.9338962259544966,0,0.37089273508446435,0.6666666666666666,0.9759447319597695,0,0.8684344790547797,0,0.025073845327604708
S02001259,0,0.16130648834151187,0,0.08197985823791651,0,0.14111501331024084,0,0.3666201610058052,0,0.16819092979248848,0.75,0.7513711151736746,0.75,0.916905609544886,0,0
S02001260,0,0,0,0,0,0,0,0,0,0,0.25,0.3263932654496211,1,1,0,0
S02001261,0,0.07032593799770362,0,0.07032593799770362,0,0.09210526315789473,0.125,0.27309196636912475,0,0.009003666802474162,0.75,0.825382051187081,0.875,0.9953764954257565,0,0
S02001262,0,0.151275811722172,0,0.11898769380518667,0,0.151275811722172,0,0.17949871375929913,0,0.17280122366682887,0.2,0.5747236320656329,0.2,0.5482799137871097,0,0
S02001263,0,0,0,0.004775380261761579,0,0,0.125,0.46179416528587114,0,0,0,0.2393638411557723,0.75,0.9550485915886285,0,0
S02001264,0.2,0.3533684893905397,0,0.311246711238169,0.2,0.3533684893905397,0.2,0.2741511862321894,0,0.3414759849201016,0.4,0.6980267429013998,1,1,0,0
S02001265,0,0.15639495330570843,0,0.11743150473127588,0.25,0.2056404230317274,0,0.2458531758302925,0,0.09542952563547526,0,0.3025171624713959,0.25,0.8162063207372131,0,0.1613303234584699
S02001266,0,0.49627128197154624,0,0.4021816450283759,0.16666666666666666,0.46908040503770504,0.16666666666666666,0.6647958291222886,0.16666666666666666,0.2563097644406437,0.3333333333333333,0.44266500816294796,0,0.5782826712275518,0,0
S02001267,0.2,0.5056616177200584,0.2,0.6033204985443471,0.2,0.47161141446529903,0.2,0.563084105880301,0.2,0.45269865972604206,0.4,0.43017025101627376,0.6,0.9428069281028214,0,0
S02001268,0,0,0,0.013818147519335964,0,0,0,0.11937584675275674,0,0,0,0.02879388108590145,0.125,0.18979737956817752,0,0
S02001269,0,0.22543371506116427,0,0.1924948012769821,0,0.3089691395991369,0,0.028500717570219363,0,0.19737134991066985,0,0.5081207470540569,0.14285714285714285,0.3372457995294301,0,0.04718341485321538
S02001270,0,0.33608720956771804,0,0.29927705756150996,0.14285714285714285,0.2968497512210708,0.14285714285714285,0.4903409868991646,0.14285714285714285,0.3976257588898525,0.2857142857142857,0.5216506139590085,0,0.529086593326334,0,0
S02001271,0,0.12715202261852976,0,0,0,0.15459003914745537,0.16666666666666666,0.21629784688995213,0,0.15110102218355803,0,0,0.16666666666666666,0.2511553936494128,0,0.2634498695084819
S02001272,0,0.21762759634826292,0,0.08641014643710554,0,0.033657557747687014,0.2,0.7110149500643342,0,0.253590466270449,0.6,0.7726701795233135,0,0.35664481343054955,0,0
S02001273,0.14285714285714285,0.29113666519239273,0.14285714285714285,0.22545727062754922,0,0.2587969924812029,0.2857142857142857,0.5663433092535259,0,0.41117352204039503,0.14285714285714285,0.3959005356528576,0.14285714285714285,0.5018782249742001,0,0
S02001274,0,0.5290094564905913,0,0.42763396695004297,0,0.39701977266214533,0.5,0.694995277061377,0.16666666666666666,0.5642208212606531,0,0.2931209602954755,0.3333333333333333,0.6623661391834091,0,0.04910264166162531
S02001275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.371565231153393
S02001276,0,0,0,0,0,0,0,0.06177540081698188,0,0,0,0.11065264102382467,0,0.15467462397582107,0,0
S02001277,0,0,0,0,0,0,0,0.04688765182186233,0,0,0,0.12338255140112721,0,0.07996447566881001,0,0.044003532587123896
S02001278,0,0,0,0,0,0,0,0,0,0,0,0.11226766172148495,0,0,0,0.1420952323633555
S02001279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07880120650021924
S02001280,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012040648496240598,0,0.022622767857142827
S02001281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S02001282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13832864604258735,0,0
S02001283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S02001284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652559404841217
S02001285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.39613069423724107
S02001286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,0.5662617186719172
S02001287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.47026794043668735
S02001288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.9897087857847977
S02001289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,0.6744644367408014
S02001290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
S02001291,0,0,0,0,0,0.007605363984674319,0,0.007605363984674319,0,0,0,0,0,0,0,0.030921052631578943
S02001292,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.13720971458961176,0,0,0,0.03578359566706164
S02001293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.9811398963730569
S02001294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S02001295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.3911056883204308
S02001296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,0.9685409016727866
S02001297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33260048590742575
S02001298,0,0,0,0,0,0,0,0,0,0,0,0.26130563635365783,0,0,0,0
S02001299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6310938130094217
S02001300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.819634703196347
S02001301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,0.527456850121496
S02001302,0,0,0,0,0,0,0,0.06545057544466176,0,0,0,0,0,0.06545057544466176,0,0
S02001303,0,0,0,0,0,0,0.125,0.10379842045881911,0,0,0,0.120517210664872,0,0,0,0.005688228657389989
S02001304,0,0,0,0,0,0.09019372535573461,0,0,0,0,0.14285714285714285,0.37752039612347593,0,0.04226510422444306,0,0
S02001305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,0.8264304759121955
S02001306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,0.3784256168392414
S02001307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.9707831970852087
S02001308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.5292510909426154
S02001309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S02001310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43485433767905995
S02001311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.9479660576994389
S02001312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.9433292647202423
S02001313,0,0,0,0,0,0,0,0,0,0,0,0.0980485113865568,0,0,0,0.20256175978761182
S02001314,0,0,0,0,0,0,0,0,0,0,0,0.02362304160801904,0,0,0,0.058214393769978535
S02001315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
S02001316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42857142857142855,0.8245588120967114
S02001317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.31619251303178075
S02001318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.8692543747733712
S02001319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.699031429136193
S02001320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,0.9763528539659007
S02001321,0,0.054987281861783546,0,0.09138773237493829,0,0.05819908631882661,0.2,0.21331734602194352,0,0,0.2,0.19211348881942775,0,0,0,0
S02001322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
S02001323,0,0,0,0,0,0,0,0,0,0,0,0.05718954248366012,0,0,0,0
S02001324,0,0,0,0,0,0,0,0.03796526884056757,0,0,0,0,0,0,0.5,0.45919339472848525
S02001325,0,0,0,0,0,0.008066225165562903,0,0,0,0,0,0,0,0,0.8,0.7396026490066225
S02001326,0,0.07827021822849807,0,0.09770282413350448,0,0.21248331193838252,0,0.1268517329910141,0,0,0,0.2589890885750962,0,0,0,0
S02001327,0,0,0,0.01626189627272976,0,0,0,0,0,0,0,0.227295603521571,0,0.022212089630015617,0,0
S02001328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.8227807826916959
S02001329,0,0,0,0,0,0,0,0.06072668073991912,0,0,0,0,0,0,0.75,0.6838885112168592
S02001330,0,0,0,0,0,0,0,0.07333423337348896,0,0,0,0,0,0,0.5714285714285714,0.5278216258879243
S02001331,0,0,0,0.07366166584686012,0,0,0,0.14603418593211998,0,0,0,0.049610591900311515,0,0,0,0
S02001332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.787830519273654
S02001333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857142857142857,0.3301131064826992
S02001334,0,0,0,0,0,0,0,0.19890590681121456,0,0,0.16666666666666666,0.26087926802053113,0,0.007297478241463948,0,0
S02001335,0,0,0,0.041522864538395134,0,0.014344262295081947,0,0.15023727351164798,0,0,0,0.8938179465056082,0,0,0,0
S02001336,0.125,0.47958794436942065,0,0.4040552272049667,0.125,0.4317117978217787,0.625,0.7961297988389835,0,0.03188980866027112,0.375,0.6624883810659604,0.25,0.5730138199547519,0,0
S02001337,0,0.04300768095652502,0,0.06129441144197661,0,0.03691210412804115,0,0.04910325778500889,0,0.006434219985621847,0,0,0,0,0,0.11951833213515456
S02001338,0,0.016682885419686103,0,0,0,0,0,0.09653470813146162,0,0,0,0,0,0,0.875,0.9887769679903929
S02001339,0,0,0,0,0,0.02546490248591649,0,0.044301953639882125,0,0,0,0.056520808321649546,0,0,0.3333333333333333,0.6314488166500155
S02001340,0,0,0,0,0,0,0,0,0,0,0,0.025264581069192143,0,0,0,0.20097487450188892
S02001341,0,0.33909425265951254,0,0.2531751204636979,0,0.31485486161223486,0.3333333333333333,0.8945238483204916,0,0.07109918759747665,0.3333333333333333,0.5676133057100957,0,0.27253311296817884,0,0
S02001342,0,0.1210577118471855,0,0.13960272302377563,0,0.04687766714082503,0.25,0.19575289575289576,0,0.009787644787644774,0.5,0.5950548668969722,0,0.07469518390571021,0,0
S02001343,0.25,0.5909233933477613,0,0.5101356847937867,0.25,0.5429333394729168,0.5,0.8835305674509984,0,0.3186865896148946,0.75,0.8365136375496922,0.25,0.4840217341253396,0,0
S02001344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6287531806615776
S02001345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.8479278042280756
S02001346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S02001347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S02001348,0,0,0,0,0,0,0,0,0,0.01054555680539931,0,0,0,0.11045083180391924,0,0.237339904880311
S02001349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2088762206959075
S02001350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
S02001351,0,0.13070951131356143,0,0.14027726890132197,0.14285714285714285,0.19475169579640542,0,0.049733128682477576,0,0.06666237560033667,0.14285714285714285,0.23421795316136057,0,0,0,0.370773382185473
S02001352,0,0,0,0,0,0,0,0,0,0,0,0.013426438053097327,0,0,0,0
