lsoa_code,"IMD Deciles, 1: most deprived, 10: least deprived"
E01000001,9
E01000002,10
E01000003,5
E01000005,3
E01000006,5
E01000007,3
E01000008,2
E01000009,3
E01000010,3
E01000011,3
E01000012,2
E01000013,2
E01000014,2
E01000015,2
E01000016,3
E01000017,2
E01000018,2
E01000019,2
E01000020,2
E01000021,2
E01000022,2
E01000023,2
E01000024,3
E01000025,2
E01000027,2
E01000028,2
E01000029,4
E01000030,2
E01000031,4
E01000032,3
E01000033,2
E01000034,2
E01000035,4
E01000036,5
E01000037,5
E01000038,5
E01000039,4
E01000040,2
E01000041,3
E01000042,2
E01000043,3
E01000044,3
E01000045,2
E01000046,3
E01000048,1
E01000049,2
E01000050,2
E01000051,2
E01000052,2
E01000053,2
E01000054,3
E01000055,3
E01000056,2
E01000057,3
E01000058,3
E01000059,3
E01000060,2
E01000061,1
E01000062,3
E01000063,2
E01000064,2
E01000065,2
E01000066,4
E01000067,5
E01000068,4
E01000069,6
E01000070,5
E01000071,5
E01000072,2
E01000073,2
E01000074,2
E01000075,2
E01000076,2
E01000077,2
E01000078,2
E01000079,2
E01000080,3
E01000081,3
E01000082,3
E01000083,2
E01000084,2
E01000085,2
E01000086,2
E01000087,2
E01000088,3
E01000089,3
E01000090,3
E01000091,2
E01000092,2
E01000093,1
E01000094,3
E01000095,3
E01000096,2
E01000097,2
E01000098,2
E01000099,3
E01000100,3
E01000101,2
E01000102,2
E01000103,3
E01000104,2
E01000105,1
E01000106,2
E01000107,3
E01000108,3
E01000109,4
E01000110,5
E01000111,3
E01000112,4
E01000113,4
E01000114,4
E01000115,9
E01000116,9
E01000117,8
E01000118,8
E01000119,7
E01000120,10
E01000121,2
E01000122,8
E01000123,8
E01000124,4
E01000125,3
E01000126,2
E01000127,3
E01000128,3
E01000129,3
E01000130,3
E01000131,5
E01000132,4
E01000133,3
E01000134,4
E01000135,7
E01000136,8
E01000137,3
E01000138,3
E01000139,7
E01000140,6
E01000141,3
E01000142,6
E01000143,3
E01000144,5
E01000145,6
E01000146,5
E01000147,7
E01000148,3
E01000150,6
E01000151,2
E01000152,3
E01000153,2
E01000154,3
E01000155,5
E01000156,9
E01000157,7
E01000158,5
E01000159,6
E01000160,7
E01000161,6
E01000162,5
E01000163,3
E01000164,4
E01000165,7
E01000166,6
E01000167,3
E01000168,9
E01000169,7
E01000170,5
E01000171,4
E01000172,9
E01000173,8
E01000174,6
E01000175,9
E01000176,3
E01000177,9
E01000178,9
E01000179,9
E01000180,6
E01000181,9
E01000182,9
E01000183,8
E01000184,3
E01000185,4
E01000186,10
E01000187,7
E01000188,9
E01000189,4
E01000190,8
E01000191,9
E01000192,6
E01000193,6
E01000194,5
E01000195,3
E01000196,7
E01000197,7
E01000198,7
E01000199,9
E01000200,8
E01000201,9
E01000202,9
E01000203,6
E01000204,8
E01000205,9
E01000206,8
E01000207,9
E01000208,9
E01000209,9
E01000210,9
E01000211,6
E01000212,8
E01000213,9
E01000214,8
E01000215,7
E01000216,8
E01000217,8
E01000218,6
E01000219,5
E01000220,6
E01000221,1
E01000222,3
E01000223,2
E01000224,5
E01000225,8
E01000226,3
E01000227,8
E01000228,7
E01000229,4
E01000230,9
E01000231,6
E01000232,6
E01000233,8
E01000234,8
E01000235,4
E01000236,8
E01000237,8
E01000238,6
E01000239,4
E01000240,5
E01000241,8
E01000242,5
E01000243,7
