lsoa_code,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Housing_decile,Access_decile,Environment_decile,Crime_decile,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_rank,Access_rank,Environment_rank,Crime_rank,IMD_score,Income_score,Employment_score,Education_score,Health_score,Crime_score,Housing_score,Access_score,Environment_score
W01000001,5,5,4,7,6,5,2,10,5,885,898,659,1213,1057,935,221,1859,914,19.17394138,17.03819751,23.93921351,13.37903569,10.27862069,16.64249576,16.13325862,47.51867456,0.614650136
W01000002,7,6,7,7,9,2,4,10,9,1324,1045,1272,1307,1591,309,693,1894,1613,12.21066335,13.63577864,9.206983893,4.145836815,8.59408885,3.834642077,40.46074074,22.82187699,0.191069055
W01000003,3,3,3,4,4,5,5,10,4,550,414,420,676,615,766,767,1776,667,26.79617755,34.15725312,33.8443347,25.47075501,23.37376091,23.67138569,20.59191192,20.56281701,1.651471399
W01000004,6,6,6,7,5,7,2,10,7,1100,1122,1004,1311,787,1229,265,1827,1284,15.49385327,12.03606054,14.53525934,19.98851672,8.525072388,8.995003481,9.983038166,43.72003268,1.008871662
W01000005,6,5,7,8,2,5,7,8,5,1065,917,1216,1430,336,786,1207,1510,796,15.9853179,16.56905365,10.22290884,38.66770977,6.561192379,19.73468721,20.01689369,10.39045088,5.329318386
W01000006,6,7,6,7,7,3,2,10,8,1116,1246,1003,1151,1203,571,251,1881,1459,15.22183718,9.673089008,14.55764342,10.46530756,11.46128644,6.106977691,27.11160172,44.86204518,0.347489982
W01000007,6,7,7,8,7,1,2,9,7,1036,1165,1178,1441,1321,136,211,1633,1332,16.44176263,11.18886739,10.93876378,8.35343189,6.387846459,8.166095094,57.31780229,48.47708142,3.555345722
W01000008,10,9,9,9,10,8,10,9,10,1820,1541,1647,1554,1756,1453,1797,1607,1740,3.654083396,4.869159446,3.361836862,1.908454971,4.678896257,2.116129414,6.200220035,1.384693678,3.919096654
W01000009,5,5,5,6,5,2,2,9,8,819,808,768,992,945,348,324,1616,1341,20.42061414,19.4005475,20.53375885,15.89467131,14.80531684,8.013946418,37.91357746,39.44740953,3.792530797
W01000010,9,8,7,9,7,8,7,9,9,1624,1354,1319,1609,1315,1443,1165,1673,1624,7.226110719,7.7959379,8.387657671,8.456262406,3.890910657,3.680609546,6.356468904,11.18886739,3.006726359
W01000011,8,8,7,10,9,2,10,9,1,1377,1395,1189,1773,1565,265,1850,1710,87,11.35808629,7.121603577,10.72924135,4.519124604,1.689836365,65.72657053,43.72003268,0.724843694,2.510646557
W01000012,8,7,7,6,8,10,9,10,3,1494,1280,1231,1031,1521,1801,1540,1846,404,9.351443997,9.06544676,9.946356019,5.164980357,13.93897988,34.68843455,1.334227845,4.883860476,0.773988583
