ward_code,Proportion,Extent,Income_Proportion,Income_Extent,Employment_Proportion,Employment_Extent,Education_Proportion,Education_Extent,Health_Proportion,Health_Extent,Crime_Proportion,Crime_Extent,Housing_Proportion,Housing_Extent,Access_Proportion,Access_Extent,Environment_Proportion,Environment_Extent
W05000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47631578947368414,0,0.9026315789473683,0,0
W05000044,0,0,0,0,0,0,0,0,0,0,0,0.042467945298999416,0,0.3317090862543468,0,0.5089422482025899,0,0
W05000046,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.95,0,0
W05000047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713157894736842,0,0
W05000050,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
W05000051,0,0.09736842105263155,0,0,0,0,0,0,0,0,0,0.6657894736842105,1,1,0,0.47631578947368414,0,0
W05000052,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
W05000053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
W05000054,0,0.5710526315789473,0,0.713157894736842,0,0.6657894736842105,0,0.09736842105263155,0,0.14473684210526305,1,1,0,0,0,0.14473684210526305,0,0
W05000056,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
W05000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000058,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.9499999999999998,0,0
W05000059,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0.6184210526315789,0,0
W05000060,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
W05000061,0,0,0,0,0,0,0,0,0,0,0,0.47631578947368414,0,0,0,0,0,0
W05000062,0,0,0,0,0,0,0,0.19210526315789467,0,0,0,0.19210526315789467,0,0.6657894736842105,0,0,0,0
W05000063,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
W05000064,0,0,0,0,0,0,0,0,0,0,0,0.2868421052631578,0,0,0,0.09736842105263155,0,0
W05000065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W05000066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7605263157894736,0,0
W05000067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713157894736842,1,1,0,0
W05000068,0,0,0,0,0,0,0,0,0,0,1,1,0,0.95,0,0,0,0
W05000069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5710526315789473,0,0.381578947368421,0,0
W05000070,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09736842105263155,0,0,0,0
W05000071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8078947368421053,0,0
W05000072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9026315789473683,0,0
W05000073,0,0,0,0,0,0,0,0,0,0,0,0.5236842105263158,0,0.6657894736842105,0,0.2868421052631578,0,0
W05000074,0,0,0,0,0,0,0,0,0,0,0,0.2868421052631578,1,1,0,0,1,1
W05000075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8078947368421053,1,1,0,0
