Data Zone,Local Authority Code,Local Authority Name,Intermediate Geography name,Nearest settlement*,Total Population (SAPE 2010),"Best-fit Working Age Population** (men 16-64, women 16-60 SAPE 2010)",Overall SIMD 2012 Score,Overall SIMD 2012 Rank,Income domain 2012 rate (%),Number of Income Deprived People 2012,Income domain 2012 rank,Employment domain 2012 rate (%),Number of Employment Deprived People 2012 ,Employment domain 2012 rank,Health domain 2012 score,Health domain 2012 rank,"Education, Skills and Training domain 2012 score","Education, Skills and Training domain 2012 rank","Housing domain score 2004, 2006, 2009 & 2012","Housing domain rank 2004, 2006, 2009 & 2012",Geographic Access domain 2012 score,Geographic Access domain 2012 rank,SIMD Crime 2012 score,SIMD Crime 2012 rank,Decile,Quintile,Vigintile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000001,100,Aberdeen City,Aberdeen City - Culter,Peterculter,914,612,10.04,"4,726",8,75,"4,102",7,45,"4,518",-0.10,"3,490",-0.60,"4,795",13.48,"3,929",14.95,"3,420",144,"4,839",8,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000002,100,Aberdeen City,Aberdeen City - Cove South,Aberdeen,662,442,3.82,"6,214",1,5,"6,489",3,15,"6,106",-0.93,"5,554",-0.84,"5,360",5.09,"5,880",24.36,"2,151",,"6,487",10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000003,100,Aberdeen City,Aberdeen City - Cove South,Aberdeen,795,602,3.73,"6,238",2,15,"6,284",2,10,"6,340",-0.78,"5,267",-0.77,"5,211",10.38,"4,784",17.39,"3,036",128,"5,066",10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000004,100,Aberdeen City,Aberdeen City - Cove South,Aberdeen,621,453,4.40,"6,068",0,5,"6,494",2,10,"6,403",-1.17,"5,942",-0.79,"5,255",5.77,"5,755",32.17,"1,462",122,"5,133",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000005,100,Aberdeen City,Aberdeen City - Culter,Peterculter,605,432,5.22,"5,883",5,30,"5,308",4,15,"5,918",-0.59,"4,812",-0.93,"5,558",8.90,"5,149",14.86,"3,431",185,"4,331",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000006,100,Aberdeen City,Aberdeen City - Culter,Peterculter,643,347,9.64,"4,812",9,55,"4,018",8,30,"4,030",-0.39,"4,280",-0.39,"4,239",13.49,"3,924",4.05,"5,577",140,"4,886",8,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000007,100,Aberdeen City,Aberdeen City - Culter,Peterculter,809,426,4.03,"6,171",4,30,"5,564",4,15,"5,706",-0.43,"4,400",-1.27,"6,006",3.01,"6,261",6.07,"5,160",108,"5,355",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000008,100,Aberdeen City,Aberdeen City - Culter,Peterculter,553,340,10.77,"4,548",8,45,"4,227",9,30,"3,978",-0.22,"3,779",-0.35,"4,135",15.75,"3,280",11.95,"3,950",178,"4,409",7,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000009,100,Aberdeen City,Aberdeen City - Cove South,Aberdeen,660,414,8.09,"5,159",7,45,"4,496",5,20,"5,192",-0.61,"4,859",-0.47,"4,459",13.17,"4,013",19.58,"2,725",101,"5,425",8,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000010,100,Aberdeen City,Aberdeen City - Cove South,Aberdeen,544,389,4.33,"6,092",3,20,"5,774",4,20,"5,750",-1.14,"5,907",-0.63,"4,898",9.86,"4,916",12.51,"3,855",161,"4,625",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000011,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber West",Milltimber,"1,075",655,4.72,"6,002",1,10,"6,476",1,5,"6,494",-0.23,"3,808",-1.75,"6,384",3.76,"6,142",29.75,"1,623",61,"5,968",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000012,100,Aberdeen City,"Aberdeen City - Kincorth, Leggart and Nigg South",Aberdeen,"1,406",898,6.75,"5,491",3,45,"5,934",3,25,"6,255",-0.44,"4,421",-0.76,"5,196",5.50,"5,802",36.40,"1,201",209,"4,022",9,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000013,100,Aberdeen City,Aberdeen City - Culter,Peterculter,794,495,10.16,"4,702",8,60,"4,303",6,25,"5,046",-0.20,"3,743",-0.68,"5,006",14.14,"3,715",29.05,"1,679",154,"4,719",8,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000014,100,Aberdeen City,Aberdeen City - Cove North,Aberdeen,933,628,7.60,"5,274",3,30,"5,982",5,30,"5,522",-0.26,"3,921",-0.24,"3,835",12.40,"4,224",25.88,"1,987",82,"5,663",9,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000015,100,Aberdeen City,Aberdeen City - Cove North,Aberdeen,677,509,3.83,"6,210",1,10,"6,401",3,15,"6,231",-0.52,"4,636",-0.58,"4,734",15.57,"3,330",10.87,"4,155",81,"5,677",10,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000016,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber West",Milltimber,696,490,4.07,"6,162",1,5,"6,468",1,5,"6,495",-2.06,"6,487",-1.32,"6,065",8.39,"5,267",36.30,"1,207",140,"4,887",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000017,100,Aberdeen City,Aberdeen City - Cove North,Aberdeen,840,573,9.67,"4,808",6,55,"4,715",6,35,"4,930",0.12,"2,881",-0.39,"4,249",10.89,"4,641",13.30,"3,721",245,"3,647",8,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000018,100,Aberdeen City,Aberdeen City - Cove North,Aberdeen,499,339,9.22,"4,908",3,15,"5,979",8,25,"4,261",-0.19,"3,724",0.21,"2,686",14.04,"3,744",11.52,"4,031",108,"5,345",8,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000019,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber West",Milltimber,693,345,5.07,"5,918",3,20,"5,908",3,10,"6,270",-0.47,"4,499",-1.75,"6,383",1.87,"6,401",31.25,"1,524",,"6,138",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000020,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber East",Aberdeen,"1,004",608,13.09,"4,026",10,105,"3,520",11,70,"3,141",-0.54,"4,684",-0.90,"5,500",9.32,"5,052",29.24,"1,662",85,"5,634",7,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000021,100,Aberdeen City,"Aberdeen City - Kincorth, Leggart and Nigg South",Aberdeen,846,561,13.29,"3,982",7,60,"4,414",9,50,"3,897",0.14,"2,818",0.06,"3,042",13.92,"3,788",20.55,"2,609",181,"4,369",7,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000022,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber East",Aberdeen,746,443,4.06,"6,167",1,10,"6,458",2,10,"6,449",-1.81,"6,439",-2.15,"6,483",0.96,"6,475",40.98,961,,"5,985",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000023,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber West",Milltimber,829,507,4.72,"6,000",1,10,"6,406",1,5,"6,469",-1.56,"6,335",-1.94,"6,447",2.24,"6,367",47.05,723,68,"5,877",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000024,100,Aberdeen City,Aberdeen City - Culter,Peterculter,525,329,6.35,"5,602",3,15,"5,886",1,0,"6,488",-0.92,"5,542",-1.62,"6,308",9.43,"5,031",54.63,530,,"6,196",9,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000025,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber East",Aberdeen,931,624,4.67,"6,010",2,25,"6,148",3,20,"6,195",-1.60,"6,355",-1.97,"6,454",0.94,"6,476",40.91,964,58,"6,000",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000026,100,Aberdeen City,"Aberdeen City - Kincorth, Leggart and Nigg North",Aberdeen,796,485,34.44,"1,260",19,150,"1,774",21,100,"1,248",1.16,579,0.94,"1,003",21.18,"2,081",14.16,"3,570",377,"2,537",2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000027,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber East",Aberdeen,800,457,4.81,"5,980",3,20,"6,068",5,25,"5,539",-1.42,"6,232",-1.50,"6,248",4.29,"6,029",30.84,"1,549",84,"5,644",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000028,100,Aberdeen City,"Aberdeen City - Kincorth, Leggart and Nigg South",Aberdeen,851,529,25.31,"2,052",15,125,"2,558",15,80,"2,224",0.91,984,0.74,"1,420",21.05,"2,105",10.16,"4,282",258,"3,521",4,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000029,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber East",Aberdeen,"1,050",653,4.55,"6,042",1,10,"6,464",0,5,"6,499",-2.45,"6,502",-2.26,"6,496",3.77,"6,138",48.61,678,,"6,466",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000030,100,Aberdeen City,"Aberdeen City - Kincorth, Leggart and Nigg South",Aberdeen,479,277,21.91,"2,448",16,75,"2,296",15,40,"2,327",0.20,"2,669",0.22,"2,655",28.00,"1,268",13.66,"3,652",467,"1,972",4,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01000031,100,Aberdeen City,"Aberdeen City - Cults, Bieldside and Milltimber East",Aberdeen,983,553,4.02,"6,174",3,25,"6,069",3,15,"6,245",-0.72,"5,135",-1.59,"6,292",4.04,"6,086",25.45,"2,027",50,"6,103",10,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
