MSOA11CD,Proportion,Extent,Score
E02000001,0,0.018910768331176667,0
E02000002,0.75,0,0
E02000003,0,0,0
E02000004,0.25,0,0
E02000005,0.4,0,0
E02000007,0.8,0.018111224019443508,0
E02000008,0.5714285714285714,0,0
E02000009,0.8333333333333334,0,0
E02000010,0.8,0,0
E02000011,0,0,0
E02000012,0,0,0
E02000013,0.8,0,0
E02000014,0.8333333333333334,0,0
E02000015,0.75,0,0
E02000016,0.5,0,0
E02000017,0,0,0
E02000018,0.6,0,0
E02000019,0.2,0,0
E02000020,0.8,0,0
E02000021,0.4,0,0
E02000022,1,0,0
E02000023,0.75,0.011197657028913245,0
E02000024,0,0,0
E02000025,0,0,0
E02000026,0,0,0
E02000027,0.16666666666666666,0.07481433142932033,0
E02000028,0,0,0
E02000029,0,0,0
E02000030,0,0,0
E02000031,0,0,0
E02000032,0,0,0
E02000033,0.2,0.070487476131641,0
E02000034,0,0,0
E02000035,0,0,0
E02000036,0,0,0
E02000037,0,0,0
E02000038,0,0,0
E02000039,0,0,0
E02000040,0,0,0
E02000041,0,0.017447520535442646,0
E02000042,0,0,0
E02000043,0,0,0
E02000044,0,0.03876746282109057,0
E02000045,0,0.04562741939361879,0
E02000046,0,0,0
E02000047,0,0,0
E02000048,0,0,0
E02000049,0.6,0,0
E02000050,0,0.053385200057364114,0
E02000051,0,0,0
E02000052,0,0,0
E02000053,0,0,0
E02000054,0,0,0
E02000055,0,0,0
E02000056,0,0,0
E02000057,0,0,0
E02000058,0,0,0
E02000059,0,0,0
E02000060,0,0,0
E02000061,0,0,0
E02000062,0.5,0.06378608535296365,0
E02000063,0,0,0
E02000064,0,0,0
E02000065,0,0,0
E02000066,0.3333333333333333,0,0
E02000067,0,0,0
E02000068,0,0,0
E02000069,0,0,0
E02000070,0,0,0
E02000071,0,0,0
E02000072,0.5714285714285714,0.08223971809268549,0
E02000073,0,0,0
E02000074,0.2,0,0
E02000075,0,0,0
E02000077,0,0,0
E02000078,0,0,0
E02000079,0,0,0
E02000080,0,0,0
E02000081,0,0,0
E02000082,0,0,0
E02000083,0.16666666666666666,0.09438924073669651,0
E02000084,0,0,0
E02000085,0,0,0
E02000086,0,0,0
E02000087,0,0,0
E02000088,0,0,0
E02000089,0,0,0
E02000090,0,0,0
E02000091,0,0,0
E02000092,0.25,0.0328394515701017,0
E02000093,0,0,0
E02000094,0,0,0
E02000095,0,0,0
E02000096,0,0,0
E02000097,0,0,0
E02000098,0.2,0.08787903627524542,0
E02000099,0,0.02675656115039627,0
E02000100,0,0,0
E02000101,0.4,0,0
E02000102,0.25,0,0
E02000103,0.2,0,0
E02000104,0,0,0
E02000105,0,0,0
E02000106,0.5,0,0
E02000107,0,0,0
E02000108,0,0,0
E02000109,0,0,0
E02000110,0,0,0
E02000111,0,0,0
E02000112,0,0,0
E02000113,1,0.03597318768619662,0
E02000114,0,0,0
E02000115,0,0,0
E02000116,0.25,0.11853462986689642,0
E02000117,0.8333333333333334,0.06870674705102825,0
E02000118,0,0,0
E02000119,1,0,0
E02000120,0,0,0
E02000121,0,0,0
E02000122,0,0,0
E02000123,0.7142857142857143,0,0
E02000124,0,0,0
E02000125,0,0,0
E02000126,1,0,0
E02000127,0.3333333333333333,0.1790585579529923,0
E02000128,0,0,0
E02000130,0,0,0
E02000131,0,0,0
E02000132,0,0,0
E02000133,0,0,0
E02000134,0,0,0
E02000135,0.5,0,0
E02000136,0,0,0
E02000137,0,0,0
E02000138,0,0,0
E02000139,0,0,0
E02000140,0.6,0.12973687189784713,0
E02000141,0,0,0
E02000142,0,0,0
E02000144,0,0,0
E02000145,0.6,0.09078053058539792,0
E02000146,0,0,0
E02000147,0,0,0
E02000148,0,0,0
E02000149,0,0,0
E02000150,0,0,0
E02000151,0,0,0
E02000152,0.25,0.01699362738972883,0
E02000153,0,0,0
E02000154,0,0,0
E02000155,0,0,0
E02000156,0,0,0
E02000157,0,0,0
E02000158,0.2,0.17273439225687262,0
E02000159,0,0,0
E02000160,0,0,0
E02000161,0,0,0
E02000162,0,0.04010536837595916,0
E02000163,0,0,0
E02000165,0,0,0
E02000166,0.2,0.05121301106844362,0
E02000167,0,0,0
E02000168,0,0,0
E02000169,0,0,0
E02000170,0,0,0
E02000171,0,0,0
E02000172,0.3333333333333333,0.1088254016754513,0
E02000173,0,0,0
E02000174,0,0,0
E02000175,0,0,0
E02000176,0,0,0
E02000177,0.4,0.1766522229267949,0
E02000178,0.2,0,0
E02000179,0,0,0
E02000180,0.2,0.07839339269342531,0
E02000181,0,0,0
E02000182,0,0,0
E02000183,0.2,0.15096851583093918,0
E02000184,0.4,0,0
E02000185,0.2,0,0
E02000186,0.25,0,0
E02000187,0.8,0,0
E02000188,0.4,0.007224061810154516,0
E02000189,0.5,0,0
E02000190,0.2,0.0434706110048913,0
E02000191,0,0,0
E02000192,0.25,0,0
E02000193,0,0,0
E02000194,0,0,0
E02000195,0,0,0
E02000196,0.25,0.14348982325459833,0
E02000197,0,0,0
E02000198,0.6,0.019747209750996187,0
E02000199,0,0,0
E02000200,0.2,0,0
E02000201,0.4,0,0
E02000202,0,0,0
E02000203,0.2,0,0
E02000204,0,0,0
E02000206,0.3333333333333333,0,0
E02000207,0.2,0,0
E02000208,0.6,0.1328125,0
