SOA Code,SOA Name,2015 Default Urban/Rural,Urban,mixed urban/rural,Rural,20 minutes   (Yes / No),30 minutes  (Yes / No),BELFAST,DERRY,ANTRIM,ARMAGH,BALLYMENA,BALLYMONEY,BANBRIDGE,BANGOR,CARRICKFERGUS,COLERAINE,COOKSTOWN,CRAIGAVON,DOWNPATRICK,DUNGANNON,ENNISKILLEN,HOLYWOOD,LARNE,LIMAVADY,LISBURN,LURGAN,NEWRY,NEWTOWNARDS,OMAGH,PORTADOWN,STRABANE
95AA01S1,Aldergrove_1,Rural,-,-,1,Y,Y,20-30min,>60min,0-20min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA01S2,Aldergrove_2,Mixed urban/rural,-,1,4,N,Y,30-45min,>60min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA01S3,Aldergrove_3,Mixed urban/rural,-,2,2,Y,Y,20-30min,>60min,0-20min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA02W1,Balloo,Urban,5,1,-,Y,Y,20-30min,>60min,0-20min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA03W1,Ballycraigy,Urban,7,-,-,Y,Y,20-30min,>60min,0-20min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA04W1,Clady,Mixed urban/rural,1,1,5,Y,Y,20-30min,>60min,0-20min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA05W1,Cranfield,Mixed urban/rural,2,2,2,Y,Y,20-30min,>60min,0-20min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA06S1,Crumlin_1,Mixed urban/rural,2,1,-,N,Y,30-45min,>60min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min
95AA06S2,Crumlin_2,Urban,5,-,-,N,Y,20-30min,>60min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min
95AA07W1,Drumanaway,Mixed urban/rural,3,1,2,Y,Y,20-30min,>60min,0-20min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA08W1,Farranshane,Urban,5,1,-,Y,Y,20-30min,>60min,0-20min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA09W1,Fountain Hill,Urban,7,-,-,Y,Y,20-30min,>60min,0-20min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA10W1,Greystone,Urban,6,-,-,Y,Y,20-30min,>60min,0-20min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA11S1,Massereene_1,Urban,4,-,-,Y,Y,20-30min,>60min,0-20min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA11S2,Massereene_2,Urban,5,-,-,Y,Y,20-30min,>60min,0-20min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA12W1,Parkgate,Rural,-,-,6,Y,Y,20-30min,>60min,0-20min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA13S1,Randalstown_1,Mixed urban/rural,2,1,-,Y,Y,20-30min,>60min,0-20min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA13S2,Randalstown_2,Urban,3,1,-,Y,Y,20-30min,>60min,0-20min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA14W1,Shilvodan,Rural,-,-,5,Y,Y,20-30min,>60min,0-20min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA15S1,Springfarm_1,Urban,4,-,-,Y,Y,20-30min,>60min,0-20min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA15S2,Springfarm_2,Urban,4,-,-,Y,Y,20-30min,>60min,0-20min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA16W1,Steeple,Urban,6,-,-,Y,Y,20-30min,>60min,0-20min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA17W1,Stiles,Urban,7,-,-,Y,Y,20-30min,>60min,0-20min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min
95AA18W1,Templepatrick,Rural,-,1,6,Y,Y,0-20min,>60min,0-20min,>30min,0-20min,>30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,20-30min,>30min,20-30min,>30min,>30min,20-30min,>30min,>30min,>30min
95AA19W1,Toome,Rural,-,-,5,Y,Y,30-45min,>60min,0-20min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,20-30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,>30min
