LAD19CD,Proportion,Extent,Score
S12000005,0.25,0.2660470661519923,0
S12000006,0.1044776119402985,0.10471780266870317,0
S12000008,0.3067484662576687,0.30177060551550994,0
S12000010,0.06818181818181818,0.08273033995016488,0
S12000011,0.06557377049180328,0.05329582330158065,0
S12000013,0,0,0
S12000014,0.16355140186915887,0.16877135735105056,0
S12000017,0.09935897435897435,0.09433818294623468,0
S12000018,0.4473684210526316,0.41866019483155187,0
S12000019,0.09565217391304348,0.10711047166911437,0
S12000020,0.031746031746031744,0.03453918531457008,0
S12000021,0.3978494623655914,0.37053008523237735,0
S12000023,0,0,0
S12000026,0.06293706293706294,0.06333785181506271,0
S12000027,0,0,0
S12000028,0.17647058823529413,0.1676334484644254,0
S12000029,0.20417633410672853,0.2032700527251739,0
S12000030,0.12396694214876033,0.1126468583623372,0
S12000033,0.10247349823321555,0.10360608139055821,0
S12000034,0.026470588235294117,0.027145329730666388,0
S12000035,0.104,0.10043284524342182,0
S12000036,0.11725293132328309,0.11266476131654646,0
S12000038,0.24,0.2409758441329454,0
S12000039,0.39669421487603307,0.3623870933377523,0
S12000040,0.15481171548117154,0.16750452729310986,0
S12000041,0.08387096774193549,0.0847428435546698,0
S12000042,0.3829787234042553,0.3694162483962384,0
S12000045,0.038461538461538464,0.057905855166266174,0
S12000047,0.19838056680161945,0.20045543117598574,0
S12000048,0.05913978494623656,0.05843359138220674,0
S12000049,0.4436997319034853,0.42739904217043745,0
S12000050,0.34675615212527966,0.3027299210765291,0
