MSOA11CD,Proportion,Extent,Score
S02001236,0,0,0
S02001237,0,0,0
S02001238,0,0,0
S02001239,0,0,0
S02001240,0,0,0
S02001241,0,0,0
S02001242,0,0,0
S02001243,0,0.05171975175190099,0
S02001244,0,0.024256082194436347,0
S02001245,0,0,0
S02001246,0,0,0
S02001247,0,0,0
S02001248,0,0,0
S02001249,0,0,0
S02001250,0,0,0
S02001251,0,0,0
S02001252,0,0,0
S02001253,0.2,0,0
S02001254,0,0,0
S02001255,0,0,0
S02001256,0,0,0
S02001257,0.42857142857142855,0.008241862225586665,0
S02001258,0.8333333333333334,0.012622668684698756,0
S02001259,0,0.02615783059110295,0
S02001260,0,0,0
S02001261,0.125,0.04842512685655024,0
S02001262,0.2,0.08669957588820135,0
S02001263,0,0,0
S02001264,0.4,0.23962516657365115,0
S02001265,0.25,0.1466540911621003,0
S02001266,0.5,0.2901539298763896,0
S02001267,0.4,0.10609160551135677,0
S02001268,0,0,0
S02001269,0.2857142857142857,0.15282341914887382,0
S02001270,0.42857142857142855,0.07052083808828226,0
S02001271,0,0,0
S02001272,0,0,0
S02001273,0.14285714285714285,0.09828247088309006,0
S02001274,0.6666666666666666,0.05326466498975811,0
S02001275,0,0,0
S02001276,0,0,0
S02001277,0,0,0
S02001278,0,0,0
S02001279,0,0,0
S02001280,0,0,0
S02001281,0,0,0
S02001282,0,0,0
S02001283,0,0,0
S02001284,0,0,0
S02001285,0,0,0
S02001286,0,0,0
S02001287,0,0,0
S02001288,0,0,0
S02001289,0,0,0
S02001290,0,0,0
S02001291,0,0,0
S02001292,0,0,0
S02001293,0,0,0
S02001294,0,0,0
S02001295,0,0,0
S02001296,0,0,0
S02001297,0,0,0
S02001298,0,0,0
S02001299,0,0,0
S02001300,0,0,0
S02001301,0,0,0
S02001302,0,0,0
S02001303,0,0,0
S02001304,0,0,0
S02001305,0,0,0
S02001306,0,0,0
S02001307,0,0,0
S02001308,0,0,0
S02001309,0,0,0
S02001310,0,0,0
S02001311,0,0,0
S02001312,0,0,0
S02001313,0,0,0
S02001314,0,0,0
S02001315,0,0,0
S02001316,0,0,0
S02001317,0,0,0
S02001318,0,0,0
S02001319,0,0,0
S02001320,0,0,0
S02001321,0,0.03039318662127788,0
S02001322,0,0,0
S02001323,0,0,0
S02001324,0,0,0
S02001325,0,0,0
S02001326,0,0,0
S02001327,0,0,0
S02001328,0,0,0
S02001329,0,0,0
S02001330,0,0,0
S02001331,0,0,0
S02001332,0,0,0
S02001333,0,0,0
S02001334,0,0,0
S02001335,0,0,0
S02001336,0.5,0.16467756361914446,0
S02001337,0,0.0308165272995573,0
S02001338,0,0,0
S02001339,0,0,0
S02001340,0,0,0
S02001341,0.3333333333333333,0,0
S02001342,0.25,0.06542267831741515,0
S02001343,0.75,0.07110405059016743,0
S02001344,0,0,0
S02001345,0,0,0
S02001346,0,0,0
S02001347,0,0,0
S02001348,0,0,0
S02001349,0,0,0
S02001350,0,0,0
S02001351,0.14285714285714285,0.09610833292073079,0
S02001352,0,0,0
S02001353,0.5,0.12047986289631533,0
S02001354,0.2857142857142857,0.032949908394403725,0
S02001355,0.42857142857142855,0.17033935654473337,0
S02001356,0,0,0
S02001357,0,0,0
S02001358,0,0.009785407725321875,0
S02001359,0,0,0
S02001360,0,0,0
S02001361,0.4,0.009614819170832095,0
S02001362,0,0,0
S02001363,0,0,0
S02001364,0,0,0
S02001365,0.16666666666666666,0,0
S02001366,0,0,0
S02001367,0,0,0
S02001368,0.125,0.052207984750608914,0
S02001369,0,0,0
S02001370,0,0,0
S02001371,0.125,0.07645975802209362,0
S02001372,0,0,0
S02001373,0,0,0
S02001374,0,0,0
S02001375,0,0,0
S02001376,0,0,0
S02001377,0,0,0
S02001378,0,0,0
S02001379,0,0,0
S02001380,0.2857142857142857,0.19874428168753752,0
S02001381,0,0.05799730751971278,0
S02001382,0.5714285714285714,0.14991459230600773,0
S02001383,0,0,0
S02001384,0,0,0
S02001385,0.14285714285714285,0.044609793181013456,0
S02001386,0.42857142857142855,0.20272310151683404,0
S02001387,0,0.018186941819127705,0
S02001388,0,0,0
S02001389,0,0,0
S02001390,0,0.0473855267659398,0
S02001391,0.3333333333333333,0.23500108295429933,0
S02001392,0,0,0
