MSOA11CD,Proportion,Extent,Score
W02000001,0,0,0
W02000002,0,0,0
W02000003,0.7142857142857143,0.13782928493918814,0
W02000004,0,0,0
W02000005,0,0,0
W02000006,0.25,0.1110012347148255,0
W02000007,0,0,0
W02000008,0,0,0
W02000009,0,0,0
W02000010,0.2,0.12139879091098604,0
W02000011,0.2,0.10667039402611678,0
W02000012,0,0,0
W02000013,0,0,0
W02000014,0,0,0
W02000015,0.5,0.3637622632195964,0
W02000016,0,0,0
W02000017,0,0,0
W02000018,0,0,0
W02000019,0,0,0
W02000020,0,0,0
W02000021,0,0,0
W02000022,0,0,0
W02000023,0,0,0
W02000024,0,0,0
W02000025,0,0,0
W02000026,0,0,0
W02000027,0.2,0,0
W02000028,0.25,0.2281227694503926,0
W02000029,0,0,0
W02000030,0,0,0
W02000031,0.2,0,0
W02000032,0,0,0
W02000033,0.5,0.48155815946443575,0
W02000034,0,0,0
W02000035,0.3333333333333333,0.2587035178935206,0
W02000036,0.2857142857142857,0.21151191681236772,0
W02000037,0,0,0
W02000038,0,0,0
W02000039,0,0,0
W02000040,0,0,0
W02000041,0,0,0
W02000042,0,0,0
W02000043,0,0.18923820066418431,0
W02000044,0,0,0
W02000045,0.8333333333333334,0.6375913033396456,0
W02000047,0.6666666666666666,0.6851952770208901,0
W02000049,0,0,0
W02000050,0,0,0
W02000051,0,0,0
W02000052,0.3333333333333333,0.039297574720740636,0
W02000053,0,0,0
W02000054,0,0,0
W02000055,0,0,0
W02000056,0,0,0
W02000057,0,0,0
W02000058,0,0,0
W02000059,0,0.02805357241684652,0
W02000060,0.3333333333333333,0.24087113839156662,0
W02000061,0.5,0,0
W02000062,0,0,0
W02000063,0,0,0
W02000064,0.5,0.3907937820976803,0
W02000065,0,0,0
W02000066,0.5,0.3059625730994152,0
W02000067,0,0,0
W02000068,0,0,0
W02000069,0,0,0
W02000070,0,0,0
W02000071,0,0,0
W02000072,0,0.006531700408231266,0
W02000073,0.14285714285714285,0.09526300191850762,0
W02000074,0,0.020527098221271696,0
W02000075,0,0,0
W02000076,0,0,0
W02000077,0,0,0
W02000080,0,0.07067355304148219,0
W02000081,0.5,0.236670219853431,0
W02000082,0,0,0
W02000083,0,0.017094160057678436,0
W02000084,0,0,0
W02000085,0,0.060102335889261546,0
W02000086,0,0,0
W02000087,0.8,0.6225506526433715,0
W02000088,0,0,0
W02000089,0.3333333333333333,0.1063198177073939,0
W02000090,0.25,0.16904735647395067,0
W02000091,0,0,0
W02000092,0,0,0
W02000093,0,0,0
W02000094,0.2,0.22543037698845064,0
W02000095,0,0,0
W02000096,0,0,0
W02000097,0,0,0
W02000098,0,0,0
W02000099,0.25,0.05366347094502053,0
W02000100,0,0,0
W02000101,0,0,0
W02000102,0,0,0
W02000103,0,0,0
W02000104,0.3333333333333333,0.07965724129737435,0
W02000105,0.3333333333333333,0,0
W02000106,0,0,0
W02000107,0,0,0
W02000108,0,0,0
W02000109,0.3333333333333333,0,0
W02000110,0,0,0
W02000111,0,0,0
W02000113,0,0,0
W02000114,0,0,0
W02000116,0,0,0
W02000117,0,0,0
W02000118,0,0,0
W02000120,0,0,0
W02000122,0,0,0
W02000123,0,0,0
W02000124,0.2857142857142857,0.1558346474431178,0
W02000125,0,0,0
W02000126,0,0,0
W02000127,0,0,0
W02000128,0,0,0
W02000129,0,0,0
W02000130,0.25,0.2220815752461322,0
W02000131,0,0,0
W02000132,0,0,0
W02000133,0,0,0
W02000134,0,0,0
W02000135,0.3333333333333333,0,0
W02000136,0,0,0
W02000137,0.4,0.0338698677321576,0
W02000138,0.5,0.2541653279603561,0
W02000139,0,0,0
W02000140,0.25,0.23072761698674601,0
W02000141,0,0,0
W02000142,0,0,0
W02000143,0,0,0
W02000144,0,0,0
W02000145,0,0,0
W02000146,0,0,0
W02000147,0,0,0
W02000148,0.25,0.10762682400580818,0
W02000149,0,0.030739976006071923,0
W02000151,0,0,0
W02000152,0,0,0
W02000153,0,0,0
W02000154,0,0.07193757263822012,0
W02000156,0,0,0
W02000157,0,0,0
W02000158,0,0,0
W02000159,0.5,0,0
W02000160,0,0,0
W02000161,0.3333333333333333,0.01843235504652825,0
W02000162,0,0.09117647058823525,0
W02000163,0,0.018150183150183127,0
W02000164,0,0,0
W02000165,0.25,0.26970461629805553,0
W02000166,0.4,0.23743544057621652,0
W02000167,0.7142857142857143,0.2752714614205416,0
W02000168,0.25,0.07042602767762961,0
W02000169,0.16666666666666666,0.12962204019861806,0
W02000170,0.16666666666666666,0.1612138989169675,0
W02000171,0,0.056054478410848096,0
W02000172,0.16666666666666666,0.062130641482925276,0
W02000173,0.25,0.2003657780533168,0
W02000174,0,0,0
W02000175,0.6,0.3731249264099846,0
W02000176,0.16666666666666666,0.2273463054843136,0
W02000177,0,0.05585186461243472,0
W02000178,1,0.48935197061408053,0
W02000179,0,0,0
W02000180,0.6,0.215209883020117,0
W02000181,0.5,0.2477746778264913,0
W02000182,0,0,0
W02000183,0.8333333333333334,0.17831114566125741,0
W02000184,0.25,0.1180204686433168,0
W02000185,0,0,0
W02000186,1,0.8013999606622624,0
W02000187,0,0,0
W02000188,0.25,0,0
W02000189,0.2,0.10167297594333861,0
W02000190,0,0,0
W02000191,0,0,0
W02000192,0.3333333333333333,0.20907274262467057,0
W02000193,0,0,0
W02000194,0,0,0
W02000195,0,0,0
W02000196,0,0.07452581430524212,0
W02000197,0,0,0
W02000198,0,0,0
W02000200,0,0,0
W02000201,0.3333333333333333,0,0
W02000202,0,0,0
W02000203,0,0,0
W02000204,0,0,0
W02000205,0,0.04169185784975256,0
W02000206,0.8,0.733034615652497,0
W02000207,0,0,0
W02000208,0.16666666666666666,0.10886760169654906,0
W02000209,0.75,0.3119373776908024,0
W02000210,0.75,0.5969221742358323,0
W02000211,0.8,0.20491289635292642,0
W02000212,0.2,0.1446683935389922,0
W02000213,0,0,0
W02000214,0.8333333333333334,0.7677804919676573,0
W02000215,0.8333333333333334,0.5933938479771589,0
W02000216,0.2,0.02239905473217411,0
W02000217,0.25,0.20487272411451668,0
W02000218,0.8,0.3811272778641051,0
W02000219,0.6,0.04524422874384444,0
W02000220,0.3333333333333333,0,0
W02000221,0.2,0.09888289961574437,0
W02000222,0.25,0.11583555191480646,0
W02000223,0,0,0
W02000224,0.25,0.12019684946851426,0
W02000225,0.16666666666666666,0.10321568183105773,0
W02000226,0,0,0
W02000227,0.25,0.18230691937216312,0
W02000228,0,0,0
W02000229,0,0,0
W02000230,0,0,0
W02000231,0.6,0.2768552523562923,0
W02000232,0,0,0
W02000233,0.25,0.19086357947434293,0
W02000234,0,0.06579492748812019,0
W02000235,0,0.019973564314163555,0
W02000236,0,0,0
W02000237,0,0,0
W02000238,0,0,0
W02000239,0,0,0
W02000240,0,0,0
W02000241,0,0,0
W02000242,0,0,0
W02000243,0.6666666666666666,0.29080560787873383,0
W02000244,0,0,0
W02000245,0.4,0.25722373663241765,0
W02000246,0,0,0
W02000247,0,0,0
W02000248,0.2857142857142857,0,0
W02000249,0.16666666666666666,0.14049098110734334,0
W02000250,0,0,0
W02000251,0.2,0.2056992342337477,0
W02000252,0.5,0.424516055890939,0
W02000253,0,0,0
W02000254,0.2,0.24762457448752392,0
W02000255,0.25,0.3006418392551776,0
W02000256,0.5,0.030576292978308644,0
W02000257,0.4,0.1686288088642659,0
W02000258,0.75,0.09002451112427946,0
W02000259,0.75,0.24285714285714285,0
W02000260,0.5,0.4289395663906889,0
W02000261,0,0,0
W02000262,0.25,0.20196485924806348,0
W02000263,0.25,0.2592421441774492,0
W02000264,0.75,0.3920448283830142,0
W02000265,0.42857142857142855,0.20244562276809863,0
W02000266,0.4,0.34798551678736006,0
W02000267,0.25,0,0
W02000268,0.16666666666666666,0.17517211233744945,0
W02000269,0.5,0.11457302685485807,0
W02000270,0,0,0
W02000271,0.5,0.467518627620863,0
W02000272,0.14285714285714285,0.06136386461785677,0
W02000273,0.3333333333333333,0.22871656004652513,0
W02000274,0.3333333333333333,0.34611792177466427,0
W02000275,0.25,0.26675558519506504,0
W02000276,0,0.019074190506130122,0
W02000277,0.25,0.17807597027250205,0
W02000278,0,0,0
W02000279,0.16666666666666666,0.13321799307958476,0
W02000280,0,0,0
W02000281,0,0.06616876363710514,0
W02000282,0.16666666666666666,0.10158571755147977,0
W02000284,0.3333333333333333,0.13941510126090217,0
W02000285,0,0,0
W02000286,0.75,0.29399036122939226,0
W02000287,0,0,0
W02000288,0.16666666666666666,0.12529404481862078,0
W02000289,0,0,0
W02000290,0.6666666666666666,0.28660028449502134,0
W02000291,0.6,0.3472760534222746,0
W02000292,0.6666666666666666,0,0
W02000293,0.25,0.23838056680161943,0
W02000294,0.25,0.2265927245400651,0
W02000295,0.16666666666666666,0.1251562347427009,0
W02000296,0.2,0,0
W02000297,0.4,0.2148994774905706,0
W02000298,0,0.09718582169709988,0
W02000299,0.25,0.1618196837384942,0
W02000300,0,0.056021243529656484,0
W02000301,0.25,0.22172920266600837,0
W02000302,0,0,0
W02000303,0,0,0
W02000304,0,0,0
W02000305,0,0,0
W02000306,0,0,0
W02000307,0.5,0,0
W02000308,0.16666666666666666,0.16818827902908376,0
W02000309,0.25,0.1616420313186009,0
W02000310,0.25,0.2712979890310786,0
W02000311,0.5,0.4306861618240625,0
W02000312,0.2,0.2025262458006719,0
W02000313,0,0,0
W02000314,0.4,0.3350533488747422,0
W02000315,0.25,0.014243243243243225,0
W02000316,0.4,0.319286468715599,0
W02000317,0.4,0.2274815003827507,0
W02000318,0.6666666666666666,0.08191427398597674,0
W02000319,0.4,0.32034755870881565,0
W02000320,0.3333333333333333,0.1660484751482667,0
W02000321,0.3333333333333333,0.1363674096938447,0
W02000322,0.8,0.03820134238242914,0
W02000323,0.25,0.03696936078572125,0
W02000324,0.6,0.16071329546343227,0
W02000325,1,0.25435722709998687,0
W02000326,0.3333333333333333,0.08960766497285658,0
W02000327,0,0,0
W02000328,0,0.009115334207077315,0
W02000329,0.2,0.17772542860882085,0
W02000330,0,0,0
W02000331,0.8,0,0
W02000332,0.6,0,0
W02000333,0.2,0.112178475555194,0
W02000334,0,0,0
W02000335,0,0,0
W02000336,0,0,0
W02000337,0.25,0,0
W02000338,0,0,0
W02000339,0,0.04548085360616866,0
W02000340,0,0,0
W02000341,0,0,0
W02000342,0,0,0
W02000343,0,0.009769981412639394,0
W02000344,0,0,0
W02000345,0,0,0
W02000346,0,0,0
W02000347,0,0,0
W02000348,0.2,0.24505676744482716,0
W02000349,0.8333333333333334,0.35431082990918367,0
W02000350,0,0,0
W02000351,0.25,0.1667478642445602,0
W02000352,0.4,0.31131986793552147,0
W02000353,0.2,0.08165611759555379,0
W02000354,0.25,0.10103764588347483,0
W02000355,0,0,0
W02000356,1,0,0
W02000357,0.4,0.3049311223985612,0
W02000358,0,0,0
W02000359,0.8,0.22279762036893158,0
W02000360,0.5,0.22067789537878849,0
W02000361,0.42857142857142855,0.356914491883235,0
W02000362,0,0,0
W02000363,0.25,0.1289815625341941,0
W02000364,1,0.3959063666176637,0
W02000365,0.5,0.2998377353640511,0
W02000366,0,0,0
W02000367,0,0,0
W02000368,0,0,0
W02000369,0,0,0
W02000370,0,0,0
W02000371,0,0,0
W02000372,0,0,0
W02000373,0.5,0.49551764025448236,0
W02000374,0,0,0
W02000375,0.25,0.2077939773811146,0
W02000376,0.25,0.12690415669856459,0
W02000377,0,0.015246938500874694,0
W02000378,0,0,0
W02000379,1,0.21714373653431826,0
W02000380,0,0,0
W02000381,0.5,0.04989254785415267,0
W02000382,1,0,0
W02000383,0.4,0.2876700218120683,0
W02000384,0,0,0
W02000385,0,0,0
W02000386,0,0,0
W02000387,0,0,0
W02000388,0,0.0130095108695652,0
W02000389,0.3333333333333333,0.2524671052631579,0
W02000390,0,0,0
W02000391,0,0,0
W02000392,0,0,0
W02000393,0.25,0.25218187874750164,0
W02000394,0,0,0
W02000395,0,0,0
W02000396,0,0,0
W02000397,0.5,0.41491146318732525,0
W02000398,0,0,0
W02000399,0.3333333333333333,0.15570192454949205,0
W02000400,0,0,0
W02000401,0,0,0
W02000402,1,0.08590177298626338,0
W02000403,0.5,0.39906110377384996,0
W02000404,0.75,0.24898621248986214,0
W02000405,1,0,0
W02000406,0.2,0,0
W02000407,0.75,0.5451406111264199,0
W02000408,1,0.14275890884369158,0
W02000409,0.5,0.544686382840429,0
W02000410,0.8,0,0
W02000411,0.75,0.29694197350879786,0
W02000412,0.5,0.3072105567915155,0
W02000414,0,0,0
W02000415,0.8333333333333334,0.38823444926805734,0
W02000416,0.16666666666666666,0.11479465611083622,0
W02000417,0.14285714285714285,0,0
W02000418,0,0,0
W02000419,0.14285714285714285,0.13718408502915397,0
W02000420,0,0,0
W02000421,0,0,0
W02000422,0,0,0
W02000423,0.3333333333333333,0.3924714975186648,0
